state,last_update,lat,long,confirmed,deaths,new_deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,date,month_abbr,day,state_abbr
Alabama,2020-04-12T23:18:15Z,32.3182,-86.9023,3563,93,0,NA,3470,1,75.98802021,21583,437,2.610159978,460.3001516,12.26494527,4/12/2020,Apr,12,AL
Alaska,2020-04-12T23:18:15Z,61.3707,-152.4044,272,8,0,66,264,2,45.50404936,8038,31,2.941176471,1344.711576,11.39705882,4/12/2020,Apr,12,AK
Arizona,2020-04-12T23:18:15Z,33.7298,-111.4312,3542,115,0,NA,3427,4,48.66242224,42109,NA,3.246753247,578.5222863,NA,4/12/2020,Apr,12,AZ
Arkansas,2020-04-12T23:18:15Z,34.9697,-92.3731,1280,27,0,367,1253,5,49.43942261,19722,130,2.109375,761.7533537,10.15625,4/12/2020,Apr,12,AR
California,2020-04-12T23:18:15Z,36.1162,-119.6816,22795,640,0,NA,22155,6,58.13772584,190328,5234,2.81202018,485.4238685,22.9611757,4/12/2020,Apr,12,CA
Colorado,2020-04-12T23:18:15Z,39.0598,-105.3111,7307,289,0,NA,7018,8,128.943729,34873,1376,3.955111537,615.3899908,18.8312577,4/12/2020,Apr,12,CO
Connecticut,2020-04-12T23:18:15Z,41.5978,-72.7554,12035,554,0,NA,11481,9,337.5604825,41220,1654,4.603240548,1156.148159,13.74324886,4/12/2020,Apr,12,CT
Delaware,2020-04-12T23:18:15Z,39.3185,-75.5071,1625,35,0,191,1590,10,166.8782169,11103,190,2.153846154,1140.214672,11.69230769,4/12/2020,Apr,12,DE
District of Columbia,2020-04-12T23:18:15Z,38.8974,-77.0268,1875,50,0,493,1825,11,265.6751905,10640,NA,2.666666667,1507.618148,NA,4/12/2020,Apr,12,DC
Florida,2020-04-12T23:18:15Z,27.7663,-81.6868,19895,461,0,NA,19434,12,93.70022691,182753,2772,2.317165117,860.7186513,13.93314903,4/12/2020,Apr,12,FL
Georgia,2020-04-12T23:18:15Z,33.0406,-83.6431,12452,433,0,NA,12019,13,122.8081405,54453,2505,3.477353036,537.0439828,20.11725024,4/12/2020,Apr,12,GA
Hawaii,2020-04-12T23:18:15Z,21.0943,-157.4983,499,9,0,300,490,15,35.24543964,17968,44,1.803607214,1269.118355,8.817635271,4/12/2020,Apr,12,HI
Idaho,2020-04-12T23:18:15Z,44.2405,-114.4788,1407,27,0,NA,1380,16,87.36433536,14308,131,1.918976546,888.4214004,9.310589908,4/12/2020,Apr,12,ID
Illinois,2020-04-12T23:18:15Z,40.3495,-88.9861,20852,720,0,NA,20132,17,177.6807818,100735,3680,3.452906196,858.3672336,17.64818722,4/12/2020,Apr,12,IL
Indiana,2020-04-12T23:18:15Z,39.8494,-86.2583,7928,343,0,NA,7585,18,121.1492553,42489,NA,4.326437941,649.2823801,NA,4/12/2020,Apr,12,IN
Iowa,2020-04-12T23:18:15Z,42.0115,-93.2105,1587,41,0,674,1546,19,60.55603952,17592,129,2.583490863,671.2677046,8.128544423,4/12/2020,Apr,12,IA
Kansas,2020-04-12T23:18:15Z,38.5266,-96.7265,1344,56,0,NA,1288,20,55.11612114,13253,298,4.166666667,543.4925249,22.17261905,4/12/2020,Apr,12,KS
Kentucky,2020-04-12T23:18:15Z,37.6681,-84.6701,1963,97,0,464,1866,21,57.34228025,24567,459,4.9414162,717.6402439,23.38257769,4/12/2020,Apr,12,KY
Louisiana,2020-04-12T23:18:15Z,31.1695,-91.8678,20595,840,0,NA,19755,22,447.9836494,104045,2084,4.078659869,2263.19295,10.11896091,4/12/2020,Apr,12,LA
Maine,2020-04-12T23:18:15Z,44.6939,-69.3819,633,19,0,266,614,23,53.91795272,6721,120,3.001579779,572.4842974,18.95734597,4/12/2020,Apr,12,ME
Maryland,2020-04-12T23:18:15Z,39.0639,-76.8021,8225,236,0,456,7989,24,138.3903145,49764,1860,2.869300912,837.3076732,22.61398176,4/12/2020,Apr,12,MD
Massachusetts,2020-04-12T23:18:15Z,42.2302,-71.5301,25475,756,0,NA,24719,25,371.1516059,116730,2235,2.967615309,1700.668379,8.773307164,4/12/2020,Apr,12,MA
Michigan,2020-04-12T23:18:15Z,43.3266,-84.5361,24244,1479,0,433,22765,26,304.2953668,79437,3636,6.100478469,997.0430232,14.99752516,4/12/2020,Apr,12,MI
Minnesota,2020-04-12T23:18:15Z,45.6945,-93.9002,1621,70,0,842,1551,27,32.77100367,37421,361,4.318322023,756.5229662,22.27020358,4/12/2020,Apr,12,MN
Mississippi,2020-04-12T23:18:15Z,32.7416,-89.6787,2781,96,0,NA,2685,28,96.05534114,21413,548,3.451995685,739.6019489,19.70514204,4/12/2020,Apr,12,MS
Missouri,2020-04-12T23:18:15Z,38.4561,-92.2884,4269,118,0,NA,4151,29,72.85659283,45200,988,2.764113375,771.4026695,23.14359335,4/12/2020,Apr,12,MO
Montana,2020-04-12T23:18:15Z,46.9219,-110.4544,387,6,0,169,381,30,44.68889256,8913,47,1.550387597,1029.230231,12.14470284,4/12/2020,Apr,12,MT
Nebraska,2020-04-12T23:18:15Z,41.1254,-98.2681,791,17,0,NA,774,31,51.85960275,10691,NA,2.149178255,700.924163,NA,4/12/2020,Apr,12,NE
Nevada,2020-04-12T23:18:15Z,38.3135,-117.0554,2836,112,0,NA,2724,32,94.01010443,24611,282,3.94922426,815.8260508,9.943582511,4/12/2020,Apr,12,NV
New Hampshire,2020-04-12T23:18:15Z,43.4525,-71.5639,929,23,0,236,906,33,69.94702398,10925,146,2.475780409,822.5739902,15.71582347,4/12/2020,Apr,12,NH
New Jersey,2020-04-12T23:18:15Z,40.2989,-74.521,61850,2350,0,NA,59500,34,696.3372772,126735,7604,3.799514956,1426.844055,12.29426031,4/12/2020,Apr,12,NJ
New Mexico,2020-04-12T23:18:15Z,34.8405,-106.2485,1245,26,0,235,1219,35,74.66119111,28692,78,2.088353414,1720.625619,6.265060241,4/12/2020,Apr,12,NM
New York,2020-04-12T23:18:15Z,42.1657,-74.9481,189033,9385,0,23887,179648,36,1121.124012,461601,42594,4.964741606,2737.680538,22.53257368,4/12/2020,Apr,12,NY
North Carolina,2020-04-12T23:18:15Z,35.6301,-79.8064,4570,89,0,NA,4481,37,46.07841902,62139,331,1.947483589,626.5354222,7.242888403,4/12/2020,Apr,12,NC
North Dakota,2020-04-12T23:18:15Z,47.5289,-99.784,308,7,0,121,301,38,50.79004911,10350,39,2.272727273,1706.743533,12.66233766,4/12/2020,Apr,12,ND
Ohio,2020-04-12T23:18:15Z,40.3888,-82.7649,6604,253,0,NA,6351,39,59.10222609,63243,1948,3.831011508,565.9906245,29.49727438,4/12/2020,Apr,12,OH
Oklahoma,2020-04-12T23:18:15Z,35.5653,-96.9289,1970,96,0,865,1874,40,53.85995428,22760,446,4.873096447,622.2601824,22.63959391,4/12/2020,Apr,12,OK
Oregon,2020-04-12T23:18:15Z,44.572,-122.0709,1527,52,0,NA,1475,41,38.1076067,29758,359,3.405370007,742.6366471,23.51015062,4/12/2020,Apr,12,OR
Pennsylvania,2020-04-12T23:18:15Z,40.5908,-77.2098,22938,557,0,NA,22381,42,182.2284446,124890,2097,2.428284942,992.175013,9.142035051,4/12/2020,Apr,12,PA
Rhode Island,2020-04-12T23:18:15Z,41.6809,-71.5118,2665,63,0,35,2602,44,251.5667464,20350,201,2.363977486,1920.969339,7.542213884,4/12/2020,Apr,12,RI
South Carolina,2020-04-12T23:18:15Z,33.8569,-80.945,3320,82,0,NA,3238,45,65.87334263,31425,496,2.469879518,623.5149976,14.93975904,4/12/2020,Apr,12,SC
South Dakota,2020-04-12T23:18:15Z,44.2998,-99.4388,730,6,0,197,724,46,99.19933903,8553,43,0.821917808,1162.262941,5.890410959,4/12/2020,Apr,12,SD
Tennessee,2020-04-12T23:18:15Z,35.7478,-86.6923,5508,106,0,1504,5402,47,83.90037425,70677,567,1.924473493,1076.584377,10.29411765,4/12/2020,Apr,12,TN
Texas,2020-04-12T23:18:15Z,31.0545,-97.5635,13677,283,0,2014,13394,48,59.50516088,124533,1338,2.069167215,541.811523,9.782847116,4/12/2020,Apr,12,TX
Utah,2020-04-12T23:18:15Z,40.15,-111.8624,2303,10,0,NA,2285,49,80.3592053,44234,195,0.781589231,1543.468991,8.467216674,4/12/2020,Apr,12,UT
Vermont,2020-04-12T23:18:15Z,44.0459,-72.7107,727,27,0,15,700,50,119.0649715,9841,34,3.71389271,1611.717172,4.676753783,4/12/2020,Apr,12,VT
Virginia,2020-04-12T23:18:15Z,37.7693,-78.17,5274,141,0,NA,5133,51,66.69845192,39985,751,2.673492605,505.6764505,14.23966629,4/12/2020,Apr,12,VA
Washington,2020-04-12T23:18:15Z,47.4009,-121.4905,10609,506,0,NA,10103,53,140.5276682,93615,642,4.7695353,1240.031828,6.051465737,4/12/2020,Apr,12,WA
West Virginia,2020-04-12T23:18:15Z,38.4912,-80.9545,593,6,0,83,587,54,44.82244115,16257,81,1.011804384,1228.800044,13.65935919,4/12/2020,Apr,12,WV
