RSO_Identifier,RSO_Weight,RSO_Density,RSO_Visibility,RSO_Name,RSO_MRP,Orbit_Identifier,Orbit_Establishment_Year,Orbit_Height,Stealth_Type,RSO_Type,Survivability
FDR37,,Regular,0.065928735,Worldview,283.0292,OUT027,2009,MEO,Stealth_4,RSO_Type3,8209.314
FDX09,9,Low,0.065515067,CBERS,278.137,OUT018,2009,MEO,Stealth_4,RSO_Type2,1058.622
FDF04,17.5,High,0.013692598,PROBA,269.7304,OUT018,2009,MEO,Stealth_4,RSO_Type2,3616.6256
FDA15,9.3,Low,0.016087659,Landsat,269.6092,OUT018,2009,MEO,Stealth_4,RSO_Type2,5976.2208
FDA38,5.44,Low,0.025583714,Landsat,269.1538,OUT018,2009,MEO,Stealth_4,RSO_Type2,480.7076
FDX13,,Low,0.047551568,Pleiades,269.1092,OUT027,2007,MEO,Stealth_4,RSO_Type3,8217.3036
NCO55,12.8,High,0.091408076,SkySat,268.9938,OUT018,2009,MEO,Stealth_4,RSO_Type2,1071.938
FDC17,,Low,0.015385857,PROBA,268.9928,OUT027,2008,MEO,Stealth_4,RSO_Type3,9678.0688
FDX50,20.1,Low,0.074931201,Landsat,268.9228,OUT018,2009,MEO,Stealth_4,RSO_Type2,1105.228
FDD44,8.05,Regular,0.078719835,EnviSAT,268.5646,OUT018,2009,MEO,Stealth_4,RSO_Type2,3091.9752
FDC40,16,Regular,0.065328932,Landsat,268.4986,OUT018,2009,MEO,Stealth_4,RSO_Type2,1791.6678
FDG20,15.5,Regular,0.126199917,EnviSAT,268.4028,OUT018,2009,MEO,Stealth_4,RSO_Type2,1239.7196
FDY55,16.75,Low,0.08165147,EnviSAT,268.3988,OUT018,2009,MEO,Stealth_4,RSO_Type2,1541.9928
FDM27,12.35,Regular,0.15911489,Terra,268.1946,OUT018,2009,MEO,Stealth_4,RSO_Type2,1104.5622
FDO03,,Regular,0.03670437,Terra,268.1352,OUT027,2008,MEO,Stealth_4,RSO_Type3,9390.4432
FDI50,,Regular,0.030693309,Pleiades,268.0352,OUT027,2008,MEO,Stealth_4,RSO_Type3,10306.584
FDQ14,9.27,Low,0.062038986,Landsat,268.005,OUT018,2009,MEO,Stealth_4,RSO_Type2,1797.66
FDS45,5.175,Regular,0.029616108,CBERS,267.7622,OUT018,2009,MEO,Stealth_4,RSO_Type2,2011.3818
FDZ36,6.035,Regular,0.066051758,EO-1,267.724,OUT018,2009,MEO,Stealth_4,RSO_Type2,2050.664
FDM39,,Low,0.053211728,Landsat,267.6002,OUT027,2007,MEO,Stealth_4,RSO_Type3,8417.7094
FDO32,6.36,Low,0.121034655,EnviSAT,267.506,OUT018,2009,MEO,Stealth_4,RSO_Type2,1071.938
NCT30,9.1,Low,0.080619969,Corona,267.4718,OUT018,2009,MEO,Stealth_4,RSO_Type2,472.718
FDB52,17.75,Low,0.030559583,Landsat,267.4672,OUT018,2009,MEO,Stealth_4,RSO_Type2,3835.008
FDP20,19.85,Low,0.045855273,EnviSAT,267.102,OUT018,2009,MEO,Stealth_4,RSO_Type2,1771.028
DRE48,,Low,0.01724183,Sentinel,267.0768,OUT027,2008,MEO,Stealth_4,RSO_Type3,8868.456
FDM20,10,Low,0,EnviSAT,266.9144,OUT018,2009,MEO,Stealth_4,RSO_Type2,3185.1872
FDR25,17,Regular,0.139521931,Pleiades,266.8884,OUT046,2007,MEO,Stealth_4,RSO_Type1,5034.7796
FDS13,6.465,Low,0.125210375,Pleiades,266.8884,OUT017,2007,,Stealth_1,RSO_Type1,1059.9536
FDI41,18.5,Regular,0.062510529,PROBA,266.8418,OUT018,2009,MEO,Stealth_4,RSO_Type2,2059.9852
NCS29,9,Low,0.069487587,Dove,266.6884,OUT013,2006,GEO,Stealth_4,RSO_Type1,3974.826
FDK51,19.85,Low,0.008762556,Landsat,266.6884,OUT010,1998,,Stealth_1,RSO_Type4,2264.9884
FDD08,8.3,Low,0.03549838,EnviSAT,266.6506,OUT018,2009,MEO,Stealth_4,RSO_Type2,455.4072
NCS29,9,Low,0.06953231,Dove,266.5884,OUT035,2004,LEO,Stealth_3,RSO_Type1,6624.71
FDS13,,Low,0.21799414,Pleiades,266.5884,OUT019,1985,LEO,Stealth_1,RSO_Type4,3324.942
FDO34,17.7,Low,0.030060895,CBERS,266.4816,OUT018,2009,MEO,Stealth_4,RSO_Type2,2013.3792
FDT07,5.82,Regular,0.077634044,EnviSAT,266.433,OUT018,2009,MEO,Stealth_4,RSO_Type2,3844.995
NCS29,9,Low,0.069653585,Dove,266.2884,OUT049,2008,MEO,Stealth_4,RSO_Type1,2914.8724
NCF42,17.35,Low,0.168064909,Corona,266.2712,OUT018,2009,MEO,Stealth_4,RSO_Type2,1230.3984
FDV39,11.3,Low,0.007309544,Terra,266.2426,OUT018,2009,MEO,Stealth_4,RSO_Type2,4943.565
NCN54,20.35,Low,0.021413346,Corona,266.2328,OUT018,2009,MEO,Stealth_4,RSO_Type2,463.3968
FDS13,6.465,Low,0.124402507,Pleiades,266.1884,OUT013,2009,GEO,Stealth_2,RSO_Type1,5299.768
FDK51,19.85,Low,0.005243282,Landsat,266.1884,OUT049,1999,LEO,Stealth_1,RSO_Type1,3179.8608
FDG52,13.65,Low,0.065898197,PROBA,266.1402,OUT018,2009,MEO,Stealth_4,RSO_Type2,459.402
NCM05,,Low,0.104784329,Dove,266.0226,OUT019,1985,LEO,Stealth_0,RSO_Type4,2528.6452
NCM17,7.93,Low,0.071425647,Dove,265.9086,OUT018,2009,MEO,Stealth_4,RSO_Type2,1070.6064
FDK51,19.85,Low,0.005235143,Landsat,265.8884,OUT046,1997,LEO,Stealth_1,RSO_Type1,2649.884
FDY35,17.6,Regular,0.016092971,Quickbird,265.8402,OUT018,2009,MEO,Stealth_4,RSO_Type2,1102.5648
FDY55,,Low,0,EnviSAT,265.7988,OUT027,2008,MEO,Stealth_4,RSO_Type3,9251.9568
FDR25,17,Regular,0.139804885,Pleiades,265.7884,OUT045,2002,,Stealth_1,RSO_Type1,3974.826
FDR25,17,Regular,0.140311123,Pleiades,265.6884,OUT017,2007,,Stealth_1,RSO_Type1,2649.884
FDU12,15.5,Regular,0.075736746,EO-1,265.5568,OUT035,2004,MEO,Stealth_4,RSO_Type1,4482.1656
FDP15,,Low,0.083536071,Terra,265.433,OUT027,2008,MEO,Stealth_4,RSO_Type3,9227.988
FDK51,,Low,0.005209791,Landsat,265.2884,OUT027,2008,MEO,Stealth_4,RSO_Type3,3179.8608
FDS13,6.465,Low,0.208397715,Pleiades,265.2884,OUT010,1998,,Stealth_1,RSO_Type4,2264.9884
NCH18,,Low,0.044444956,Corona,265.2802,OUT027,2007,MEO,Stealth_4,RSO_Type3,10072.8882
FDB15,10.895,Low,0.136784873,Landsat,265.2568,OUT035,2004,GEO,Stealth_2,RSO_Type1,4218.5088
FDV49,10,Low,0.025879577,Pleiades,265.2226,OUT045,2002,,Stealth_2,RSO_Type1,5815.0972
FDR25,17,Regular,0.140090284,Pleiades,265.1884,OUT018,2009,MEO,Stealth_4,RSO_Type2,6359.7216
FDK51,19.85,Low,0.005230786,Landsat,265.1884,OUT013,2002,GEO,Stealth_2,RSO_Type1,5034.7796
FDN27,20.85,Low,0,Terra,265.1808,OUT018,2009,MEO,Stealth_4,RSO_Type2,1054.6272
FDU12,15.5,Regular,0.076059648,EO-1,265.1568,OUT018,2009,LEO,Stealth_2,RSO_Type2,2109.2544
FDI15,13.8,Low,0.141325834,Landsat,265.0884,OUT035,2004,MEO,Stealth_3,RSO_Type1,8479.6288
NCE42,,Low,0.01055095,Corona,264.9958,OUT027,2008,MEO,Stealth_4,RSO_Type3,13086.9648
FDL58,5.78,Regular,0.074087369,CBERS,264.9568,OUT013,2004,GEO,Stealth_3,RSO_Type1,6855.0768
FDL58,5.78,Regular,0.07429945,CBERS,204.9568,OUT045,2002,,Stealth_1,RSO_Type1,1845.5976
FDK03,,Regular,0.073562475,Landsat,264.9356,OUT027,2008,MEO,Stealth_4,RSO_Type3,8138.7392
FDF59,12.5,High,0.071534226,RapidEye,264.902,OUT018,2009,MEO,Stealth_4,RSO_Type2,1771.028
FDF05,17.5,Low,0.026848529,PROBA,264.891,OUT013,2009,GEO,Stealth_2,RSO_Type1,4996.829
NCS29,9,Low,0.069938838,Dove,264.8884,OUT017,2007,MEO,Stealth_4,RSO_Type1,2914.8724
FDY02,8.945,Regular,0,Landsat,204.791,OUT017,2007,,Stealth_1,RSO_Type1,4733.838
NCB31,6.235,Low,0.118915034,Corona,204.791,OUT045,2002,,Stealth_1,RSO_Type1,2103.928
FDS13,6.465,High,0.124506117,Pleiades,264.7884,OUT046,2007,MEO,Stealth_4,RSO_Type1,3709.8376
FDL58,5.78,Regular,0.074264356,CBERS,204.7568,OUT049,1999,MEO,Stealth_1,RSO_Type1,4745.8224
FDS44,,Regular,0.15528831,EnviSAT,264.7538,OUT027,2008,MEO,Stealth_4,RSO_Type3,9133.4444
NCI17,8.645,Low,0.144006886,Dove,264.741,OUT018,2009,MEO,Stealth_4,RSO_Type2,1061.951
FDV49,10,Low,0.025932408,Pleiades,264.7226,OUT018,2009,MEO,Stealth_4,RSO_Type2,3171.8712
FDP07,18.2,Low,0.090267996,EnviSAT,264.711,OUT018,2009,MEO,Stealth_4,RSO_Type2,4910.275
