Mon_Year,Date,BGT North of NE 70th Total,Ped South,Ped North,Bike North,Bike South
Jan-2014,1/1/2014,15,0,2,2,11
Jan-2014,1/1/2014,9,1,0,1,7
Jan-2014,1/1/2014,9,0,0,0,9
Jan-2014,1/1/2014,19,0,0,0,19
Jan-2014,1/1/2014,19,0,0,0,19
Jan-2014,1/1/2014,14,0,0,0,14
Jan-2014,1/1/2014,10,0,1,1,8
Jan-2014,1/1/2014,10,2,3,4,1
Jan-2014,1/1/2014,27,12,6,8,1
Jan-2014,1/1/2014,29,5,14,8,2
Jan-2014,1/1/2014,70,14,16,40,0
Jan-2014,1/1/2014,107,20,39,47,1
Jan-2014,1/1/2014,126,36,31,59,0
Jan-2014,1/1/2014,102,21,16,65,0
Jan-2014,1/1/2014,115,16,20,78,1
Jan-2014,1/1/2014,100,25,17,58,0
Jan-2014,1/1/2014,50,18,15,17,0
Jan-2014,1/1/2014,18,6,3,9,0
Jan-2014,1/1/2014,3,1,1,0,1
Jan-2014,1/1/2014,16,5,3,4,4
Jan-2014,1/1/2014,2,0,0,0,2
Jan-2014,1/1/2014,6,2,0,1,3
Jan-2014,1/1/2014,20,3,2,0,15
Jan-2014,1/1/2014,17,0,0,1,16
Jan-2014,1/2/2014,22,0,0,0,22
Jan-2014,1/2/2014,63,0,0,0,63
Jan-2014,1/2/2014,59,0,0,0,59
Jan-2014,1/2/2014,52,0,0,0,52
Jan-2014,1/2/2014,73,0,0,0,73
Jan-2014,1/2/2014,49,1,0,0,48
Jan-2014,1/2/2014,10,2,0,2,6
Jan-2014,1/2/2014,13,4,0,7,2
Jan-2014,1/2/2014,16,5,0,9,2
Jan-2014,1/2/2014,29,14,0,15,0
Jan-2014,1/2/2014,14,9,0,5,0
Jan-2014,1/2/2014,19,9,0,9,1
Jan-2014,1/2/2014,18,9,0,9,0
Jan-2014,1/2/2014,49,11,14,15,9
Jan-2014,1/2/2014,47,12,9,12,14
Jan-2014,1/2/2014,65,16,21,20,8
Jan-2014,1/2/2014,70,15,14,27,14
Jan-2014,1/2/2014,36,2,3,24,7
Jan-2014,1/2/2014,31,2,2,18,9
Jan-2014,1/2/2014,14,1,0,12,1
Jan-2014,1/2/2014,6,0,0,5,1
Jan-2014,1/2/2014,2,1,1,0,0
Jan-2014,1/2/2014,1,1,0,0,0
Jan-2014,1/2/2014,0,0,0,0,0
Jan-2014,1/3/2014,0,0,0,0,0
Jan-2014,1/3/2014,1,0,0,1,0
Jan-2014,1/3/2014,2,0,0,2,0
