week,date,approve,wtc,afghan,kabul,iraqwar,adj_app,rdpi,pop,rdpipcly,rdpipclh,rdpipclq,month,year,early,bd,nn,iraq,totbd,l10tbd,sfafghan,bushun,congress,powell,baghdad,mission,unoccupy,igc,unhq,italian,saddam,prisoner,uniraq,karzai,obs,rdpipc
5,2/3/2001,57,0,0,0,0,57.000000,7279.3999020,284266.0000000,0.0003200,-0.0000632,0.0000186,1-Feb,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025607705
6,2/4/2001,57,0,0,0,0,57.000000,7279.3999020,284266.0000000,0.0003200,-0.0000632,0.0000186,1-Feb,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.025607705
7,2/11/2001,53,0,0,0,0,53.000000,7279.3999020,284266.0000000,0.0003200,-0.0000632,0.0000186,1-Feb,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.025607705
8,2/18/2001,54,0,0,0,0,54.000000,7279.3999020,284266.0000000,0.0003200,-0.0000632,0.0000186,1-Feb,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.025607705
9,2/25/2001,55,0,0,0,0,55.000000,7286.2568360,284388.8571000,0.0003061,-0.0000311,0.0000554,1-Feb,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.025620753
10,3/4/2001,60.5,0,0,0,0,60.500000,7291.3999020,284481.0000000,0.0002956,-0.0000071,0.0000830,1-Mar,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.025630534
11,3/11/2001,60,0,0,0,0,60.000000,7291.3999020,284481.0000000,0.0002956,-0.0000071,0.0000830,1-Mar,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.025630534
12,3/18/2001,58,0,0,0,0,58.000000,7291.3999020,284481.0000000,0.0002956,-0.0000071,0.0000830,1-Mar,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.025630534
13,3/25/2001,53,0,0,0,0,53.000000,7286.8569340,284513.4286000,0.0002776,-0.0000296,0.0000534,1-Mar,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.025611645
14,4/1/2001,56,0,0,0,0,56.000000,7259.6000980,284708.0000000,0.0001696,-0.0001648,-0.0001239,1-Apr,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.025498405
15,4/8/2001,57,0,0,0,0,57.000000,7259.6000980,284708.0000000,0.0001696,-0.0001648,-0.0001239,1-Apr,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.025498405
16,4/15/2001,60.33333206,0,0,0,0,60.333332,7259.6000980,284708.0000000,0.0001696,-0.0001648,-0.0001239,1-Apr,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.025498405
17,4/22/2001,56,0,0,0,0,56.000000,7259.6000980,284708.0000000,0.0001696,-0.0001648,-0.0001239,1-Apr,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.025498405
18,4/29/2001,56,0,0,0,0,56.000000,7246.8286130,284914.5714000,0.0000526,-0.0001646,-0.0001747,1-Apr,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.025435094
19,5/6/2001,55,0,0,0,0,55.000000,7244.7001950,284949.0000000,0.0000331,-0.0001645,-0.0001832,1-May,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.025424551
20,5/13/2001,53,0,0,0,0,53.000000,7244.7001950,284949.0000000,0.0000331,-0.0001645,-0.0001832,1-May,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.025424551
21,5/20/2001,54,0,0,0,0,54.000000,7244.7001950,284949.0000000,0.0000331,-0.0001645,-0.0001832,1-May,2001,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.025424551
