week,early,bd,nn,approve,adj_app,iraq,rdpi,pop,rdpipcly,rdpipclh,rdpipclq,totbd,l10tbd,month,year,date,wtc,afghan,sfafghan,kabul,bushun,congress,powell,iraqwar,baghdad,mission,unoccupy,igc,unhq,italian,saddam,prisoner,uniraq,karzai,obs,rdpipc
5,1,0,1,57.00,57,0,7279.399902,284266,0.000320021,-6.32E-05,1.86E-05,0,0,1-Feb,2001,2/3/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025607705
6,1,0,7,57.00,57,0,7279.399902,284266,0.000320021,-6.32E-05,1.86E-05,0,0,1-Feb,2001,2/4/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.025607705
7,1,0,7,53.00,53,0,7279.399902,284266,0.000320021,-6.32E-05,1.86E-05,0,0,1-Feb,2001,2/11/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.025607705
8,1,0,7,54.00,54,0,7279.399902,284266,0.000320021,-6.32E-05,1.86E-05,0,0,1-Feb,2001,2/18/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.025607705
9,1,0,7,55.00,55,0,7286.256836,284388.8571,0.000306052,-3.11E-05,5.54E-05,0,0,1-Feb,2001,2/25/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.025620753
10,1,0,7,60.50,60.5,0,7291.399902,284481,0.000295576,-7.10E-06,8.30E-05,0,0,1-Mar,2001,3/4/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.025630534
11,1,0,7,60.00,60,0,7291.399902,284481,0.000295576,-7.10E-06,8.30E-05,0,0,1-Mar,2001,3/11/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.025630534
12,1,0,7,58.00,58,0,7291.399902,284481,0.000295576,-7.10E-06,8.30E-05,0,0,1-Mar,2001,3/18/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.025630534
13,1,0,7,53.00,53,0,7286.856934,284513.4286,0.000277577,-2.96E-05,5.34E-05,0,0,1-Mar,2001,3/25/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.025611645
14,1,0,7,56.00,56,0,7259.600098,284708,0.000169586,-0.000164846,-0.000123935,0,0,1-Apr,2001,4/1/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.025498405
15,1,0,7,57.00,57,0,7259.600098,284708,0.000169586,-0.000164846,-0.000123935,0,0,1-Apr,2001,4/8/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.025498405
16,1,0,7,60.33,60.33333206,0,7259.600098,284708,0.000169586,-0.000164846,-0.000123935,0,0,1-Apr,2001,4/15/2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.025498405
