Date,Prices
1800,9.281972
1801,10.390599
1802,8.571122
1803,6.749665
1804,6.714024
1805,6.799827
1806,7.021377
1807,7.714186
1808,10.365298
1809,9.402757
1810,5.725522
1811,6.093377
1812,5.245462
1813,4.97925
1814,4.885086
1815,6.005594
1816,5.943331
1817,3.875024
1818,2.736476
1819,1.947302
1820,2.83394
1821,3.295299
1822,3.857203
1823,3.500128
1824,4.131995
1825,4.120554
1826,2.60491
1827,3.648634
1828,2.464104
1829,8.9997
1830,8.549561
1831,7.34699
1832,6.344848
1833,6.587298
1834,7.33907
1835,6.791687
1836,7.714186
1837,9.642787
1838,10.262554
1839,6.87023
1840,5.874468
1841,4.219118
1842,4.371145
1843,7.266027
1844,7.449955
1845,5.555455
1846,3.152733
1847,2.627351
1848,2.245635
1849,2.816339
1850,3.201135
1851,4.813803
1852,3.54149
1853,4.48687
1854,4.223738
1855,2.652212
1856,3.253717
1857,2.587309
1858,8.560122
1859,8.597523
1860,6.423171
1861,6.499735
1862,6.166861
1863,7.123241
1864,6.887611
1865,7.355351
1866,8.969999
1867,8.76781
1868,10.148589
1869,6.817428
1870,4.181057
1871,4.142995
1872,6.814348
1873,7.80703
1874,4.678498
1875,2.470484
1876,2.985966
1877,2.241235
1878,2.545068
1879,2.826679
1880,5.314985
1881,3.499028
1882,5.179459
1883,3.806381
1884,2.220114
1885,2.771897
1886,8.599723
1887,8.195346
1888,5.118516
1889,6.87243
1890,6.222963
1891,7.148102
1892,7.272187
1893,8.431856
1894,8.671006
1895,8.000198
1896,7.982157
1897,7.608581
1898,4.295021
1899,3.749838
1900,6.937553
1901,5.176819
1902,5.980733
1903,2.805339
1904,3.712217
1905,2.419222
1906,2.397661
1907,3.100811
1908,3.720137
1909,3.598692
1910,4.433407
1911,3.521909
1912,2.150151
1913,2.643192
1914,9.599666
1915,6.407771
1916,5.732342
1917,8.020219
1918,6.727444
1919,6.86759
1920,7.80725
1921,10.441201
1922,8.704228
1923,6.206462
1924,6.640541
1925,6.476194
1926,6.38555
1927,4.433407
1928,4.73658
1929,5.098935
1930,8.838213
1931,2.982006
1932,2.732515
1933,3.153173
1934,2.35674
1935,3.259438
1936,3.143273
1937,3.877224
1938,4.229459
1939,4.437587
1940,2.082608
1941,2.197893
1942,0.099527
1943,8.170265
1944,5.90835
1945,7.835631
1946,7.114221
1947,7.325429
1948,7.432354
1949,10.033084
1950,8.476298
1951,5.901089
1952,7.059438
1953,6.546817
1954,5.245462
1955,4.515471
1956,5.2074
1957,4.841745
1958,8.04618
1959,2.688954
1960,1.906601
1961,2.501726
1962,2.304377
1963,3.189695
1964,3.687136
1965,3.833442
1966,4.627235
1967,4.245079
1968,2.507666
1969,2.514706
1970,9.956961
1971,7.82045
1972,6.213942
1973,6.912252
1974,7.026437
1975,7.233906
1976,7.417613
1977,9.514742
1978,7.491756
1979,6.234623
1980,6.734925
1981,5.827826
1982,6.005594
1983,4.638676
1984,4.97925
1985,4.691698
1986,5.755663
1987,2.822499
1988,1.467682
1989,2.786638
1990,2.494685
1991,3.747198
1992,3.7923
1993,3.943447
1994,5.414209
1995,3.198495
1996,3.519489
1997,2.197013
