date,state,tot_cases,new_case,tot_death,new_death
3/1/2020,CO,0.0,0.0,0.0,0.0
3/2/2020,CO,0.0,0.0,0.0,0.0
3/3/2020,CO,0.0,0.0,0.0,0.0
3/4/2020,CO,0.0,0.0,0.0,0.0
3/5/2020,CO,1.0,1.0,0.0,0.0
3/6/2020,CO,2.0,1.0,0.0,0.0
3/7/2020,CO,8.0,6.0,0.0,0.0
3/8/2020,CO,8.0,0.0,0.0,0.0
3/9/2020,CO,12.0,4.0,0.0,0.0
3/10/2020,CO,17.0,5.0,0.0,0.0
3/11/2020,CO,34.0,17.0,0.0,0.0
3/12/2020,CO,49.0,15.0,0.0,0.0
3/13/2020,CO,49.0,0.0,0.0,0.0
3/14/2020,CO,49.0,0.0,0.0,0.0
3/15/2020,CO,144.0,95.0,1.0,1.0
3/16/2020,CO,160.0,16.0,1.0,0.0
3/17/2020,CO,183.0,23.0,2.0,1.0
3/18/2020,CO,216.0,33.0,2.0,0.0
3/19/2020,CO,277.0,61.0,2.0,0.0
3/20/2020,CO,363.0,86.0,4.0,2.0
3/21/2020,CO,475.0,112.0,5.0,1.0
3/22/2020,CO,591.0,116.0,6.0,1.0
3/23/2020,CO,720.0,129.0,7.0,1.0
3/24/2020,CO,921.0,201.0,11.0,4.0
3/25/2020,CO,1086.0,165.0,19.0,8.0
3/26/2020,CO,1430.0,344.0,24.0,5.0
3/27/2020,CO,1734.0,304.0,31.0,7.0
3/28/2020,CO,2061.0,327.0,44.0,13.0
3/29/2020,CO,2307.0,246.0,47.0,3.0
3/30/2020,CO,2627.0,320.0,51.0,4.0
3/31/2020,CO,2966.0,339.0,69.0,18.0
4/1/2020,CO,3342.0,376.0,80.0,11.0
4/2/2020,CO,3728.0,386.0,97.0,17.0
4/3/2020,CO,4173.0,445.0,111.0,14.0
4/4/2020,CO,4565.0,392.0,126.0,15.0
4/5/2020,CO,4950.0,385.0,140.0,14.0
4/6/2020,CO,5172.0,222.0,150.0,10.0
4/7/2020,CO,5429.0,257.0,179.0,29.0
4/8/2020,CO,5655.0,226.0,193.0,14.0
4/9/2020,CO,6202.0,547.0,226.0,33.0
4/10/2020,CO,6365.0,163.0,250.0,24.0
4/11/2020,CO,6893.0,528.0,274.0,24.0
4/12/2020,CO,7303.0,410.0,290.0,16.0
4/13/2020,CO,7691.0,388.0,308.0,18.0
4/14/2020,CO,7941.0,250.0,329.0,21.0
4/15/2020,CO,8280.0,339.0,357.0,28.0
4/16/2020,CO,8582.0,302.0,373.0,16.0
4/17/2020,CO,9047.0,465.0,391.0,18.0
4/18/2020,CO,9433.0,386.0,411.0,20.0
4/19/2020,CO,9634.0,201.0,421.0,10.0
4/20/2020,CO,10019.0,385.0,448.0,27.0
4/21/2020,CO,10368.0,349.0,485.0,37.0
4/22/2020,CO,10825.0,457.0,507.0,22.0
4/23/2020,CO,11182.0,357.0,551.0,44.0
4/24/2020,CO,12184.0,1002.0,672.0,121.0
4/25/2020,CO,12868.0,684.0,670.0,-2.0
4/26/2020,CO,13350.0,482.0,679.0,9.0
4/27/2020,CO,13798.0,448.0,706.0,27.0
4/28/2020,CO,14238.0,440.0,736.0,30.0
4/29/2020,CO,14675.0,437.0,766.0,30.0
4/30/2020,CO,15182.0,507.0,777.0,11.0
5/1/2020,CO,15668.0,486.0,820.0,43.0
5/2/2020,CO,16120.0,452.0,832.0,12.0
5/3/2020,CO,16534.0,414.0,842.0,10.0
5/4/2020,CO,16878.0,344.0,851.0,9.0
5/5/2020,CO,17317.0,439.0,903.0,52.0
5/6/2020,CO,17738.0,421.0,921.0,18.0
5/7/2020,CO,18318.0,580.0,944.0,23.0
5/8/2020,CO,18793.0,475.0,960.0,16.0
5/9/2020,CO,19316.0,523.0,967.0,7.0
5/10/2020,CO,19632.0,316.0,971.0,4.0
5/11/2020,CO,19735.0,103.0,986.0,15.0
5/12/2020,CO,20091.0,356.0,1006.0,20.0
5/13/2020,CO,20401.0,310.0,1059.0,53.0
5/14/2020,CO,20762.0,361.0,1090.0,31.0
5/15/2020,CO,21131.0,369.0,1150.0,60.0
5/16/2020,CO,21511.0,380.0,1192.0,42.0
5/17/2020,CO,21797.0,286.0,1215.0,23.0
5/18/2020,CO,22095.0,298.0,1224.0,9.0
5/19/2020,CO,22399.0,304.0,1257.0,33.0
5/20/2020,CO,22752.0,353.0,1299.0,42.0
5/21/2020,CO,23121.0,369.0,1309.0,10.0
5/22/2020,CO,23455.0,334.0,1323.0,14.0
5/23/2020,CO,23937.0,482.0,1327.0,4.0
5/24/2020,CO,24137.0,200.0,1330.0,3.0
5/25/2020,CO,24226.0,89.0,1331.0,1.0
5/26/2020,CO,24503.0,277.0,1350.0,19.0
5/27/2020,CO,24995.0,492.0,1392.0,42.0
5/28/2020,CO,25121.0,126.0,1421.0,29.0
