Date,Cases confirmed plus probable,New cases,Confirmed cases,Probable Cases,Recovered,Deaths confirmed and probable,New deaths,Confirmed Deaths
4-Mar-20,2,0,0,0,0,0,0,0
5-Mar-20,9,7,0,0,0,0,0,0
6-Mar-20,9,0,0,0,0,0,0,0
7-Mar-20,14,5,0,0,0,0,0,0
8-Mar-20,17,3,0,0,0,0,0,0
9-Mar-20,18,1,0,0,0,0,0,0
10-Mar-20,19,1,0,0,0,0,0,0
11-Mar-20,28,9,0,0,0,2,2,0
12-Mar-20,32,4,0,0,0,2,0,0
13-Mar-20,50,18,0,0,0,2,0,0
14-Mar-20,77,27,0,0,0,3,1,0
15-Mar-20,116,39,0,0,0,4,1,0
16-Mar-20,141,25,0,0,0,4,0,0
17-Mar-20,186,45,0,0,0,6,2,0
18-Mar-20,314,128,0,0,0,7,1,0
19-Mar-20,390,76,0,0,0,8,1,0
20-Mar-20,520,130,0,0,0,10,2,0
21-Mar-20,658,138,0,0,0,12,2,0
22-Mar-20,830,172,0,0,0,13,1,0
23-Mar-20,"1,171",341,0,0,0,14,1,0
24-Mar-20,"1,412",241,0,0,0,18,4,0
25-Mar-20,"1,682",270,0,0,0,22,4,0
26-Mar-20,"2,355",673,0,0,0,28,6,0
27-Mar-20,"2,765",410,0,0,0,34,6,0
28-Mar-20,"3,763",998,0,0,0,54,20,0
29-Mar-20,"4,246",483,0,0,0,56,2,0
30-Mar-20,"5,473","1,227",0,0,0,63,7,0
31-Mar-20,"6,338",865,0,0,0,77,14,0
1-Apr-20,"6,955",617,0,0,0,87,10,0
2-Apr-20,"8,010","1,055",0,0,0,128,41,0
3-Apr-20,"9,585","1,575",0,0,0,163,35,0
4-Apr-20,"11,111","1,526",0,0,0,191,28,0
5-Apr-20,"12,151","1,040",0,0,0,218,27,0
6-Apr-20,"13,324","1,173",0,0,0,236,18,0
7-Apr-20,"14,747","1,423",0,0,0,296,60,0
8-Apr-20,"15,455",708,0,0,0,309,13,0
9-Apr-20,"16,364",909,0,0,0,354,45,0
10-Apr-20,"17,531","1,167",0,0,0,390,36,0
11-Apr-20,"18,494",963,0,0,0,438,48,0
12-Apr-20,"19,355",861,0,0,0,465,27,0
13-Apr-20,"20,601","1,246",0,0,0,483,18,0
14-Apr-20,"21,367",766,0,0,0,537,54,0
15-Apr-20,"22,511","1,144",0,0,0,609,72,0
16-Apr-20,"22,897",386,0,0,0,646,37,0
17-Apr-20,"24,119","1,222",0,0,0,699,53,0
18-Apr-20,"25,269","1,150",0,0,0,754,55,0
19-Apr-20,"25,996",727,0,0,0,781,27,0
20-Apr-20,"26,660",664,0,0,0,806,25,0
21-Apr-20,"27,495",835,0,0,0,856,50,0
22-Apr-20,"28,309",814,0,0,0,910,54,0
23-Apr-20,"28,832",523,0,0,0,979,69,0
24-Apr-20,"30,174","1,342",0,0,0,"1,031",52,0
25-Apr-20,"30,839",665,0,0,0,"1,075",44,0
26-Apr-20,"31,528",689,0,0,0,"1,094",19,0
27-Apr-20,"32,138",610,0,0,0,"1,101",7,0
28-Apr-20,"32,846",708,0,0,0,"1,154",53,0
29-Apr-20,"33,193",347,"33,193",0,0,"1,240",86,0
30-Apr-20,"33,690",497,"33,690",0,0,"1,290",50,0
1-May-20,"34,728","1,038","34,728",0,0,"1,314",24,0
2-May-20,"35,463",735,"35,463",0,0,"1,388",74,0
3-May-20,"36,078",615,"36,078",0,"34,675","1,403",15,"1,403"
4-May-20,"36,897",819,"36,897",0,"35,474","1,423",20,"1,423"
5-May-20,"37,439",542,"37,439",0,"35,903","1,536",113,"1,536"
6-May-20,"38,002",563,"38,002",0,"36,397","1,605",69,"1,605"
7-May-20,"38,828",826,"38,828",0,"37,161","1,667",62,"1,667"
8-May-20,"39,199",371,"39,199",0,"37,461","1,738",71,"1,738"
9-May-20,"40,001",802,"40,001",0,"38,216","1,785",47,"1,785"
10-May-20,"40,596",595,"40,596",0,"38,805","1,791",6,"1,791"
11-May-20,"40,982",386,"40,982",0,"39,177","1,805",14,"1,805"
12-May-20,"41,923",941,"41,923",0,"40,074","1,849",44,"1,849"
13-May-20,"42,402",479,"42,402",0,"40,504","1,898",49,"1,898"
14-May-20,"43,210",808,"43,210",0,"41,262","1,948",50,"1,948"
15-May-20,"43,210",0,"43,210",0,"41,219","1,991",43,"1,991"
16-May-20,"44,811","1,601","44,811",0,"42,771","2,040",49,"2,040"
17-May-20,"45,588",777,"45,588",0,"43,539","2,049",9,"2,049"
18-May-20,"46,442",854,"46,442",0,"44,369","2,073",24,"2,073"
19-May-20,"46,944",502,"46,442",0,"44,313","2,129",56,"2,129"
20-May-20,"47,471",527,"47,471",0,"45,298","2,173",44,"2,173"
21-May-20,"48,675","1,204","48,675",0,"46,453","2,222",49,"2,222"
22-May-20,"49,451",776,"49,451",0,"47,183","2,268",46,"2,268"
23-May-20,"50,127",676,"50,127",0,"47,815","2,312",44,"2,312"
24-May-20,"50,867",740,"50,867",0,"48,551","2,316",4,"2,316"
25-May-20,"51,746",879,"51,746",0,"49,415","2,331",15,"2,331"
26-May-20,"52,255",509,"52,255",0,"49,917","2,338",7,"2,338"
27-May-20,"52,634",379,"52,634",0,"50,234","2,400",62,"2,400"
28-May-20,"53,285",651,"53,285",0,"50,839","2,446",46,"2,446"
29-May-20,"54,497","1,212","53,285",0,"50,790","2,495",49,"2,495"
30-May-20,"55,424",927,"55,424",0,"52,894","2,530",35,"2,530"
31-May-20,"56,163",739,"56,163",0,"53,629","2,534",4,"2,534"
1-Jun-20,"56,830",667,"56,830",0,"54,287","2,543",9,"2,543"
2-Jun-20,"57,447",617,"57,447",0,"54,834","2,613",70,"2,613"
3-Jun-20,"58,764","1,317","58,764",0,"56,114","2,650",37,"2,650"
4-Jun-20,"60,183","1,419","60,183",0,"57,492","2,691",41,"2,691"
5-Jun-20,"61,488","1,305","61,488",0,"58,743","2,745",54,"2,745"
6-Jun-20,"62,758","1,270","62,758",0,"59,985","2,773",28,"2,773"
7-Jun-20,"63,938","1,180","63,938",0,"61,152","2,786",13,"2,786"
8-Jun-20,"64,904",966,"64,904",0,"62,106","2,798",12,"2,798"
9-Jun-20,"66,000","1,096","66,000",0,"63,149","2,851",53,"2,851"
10-Jun-20,"67,371","1,371","67,371",0,"64,482","2,889",38,"2,889"
11-Jun-20,"69,069","1,698","69,069",0,"66,131","2,938",49,"2,938"
12-Jun-20,"70,971","1,902","70,971",0,"68,004","2,967",29,"2,967"
13-Jun-20,"73,552","2,581","73,552",0,"70,536","3,016",49,"3,016"
14-Jun-20,"75,568","2,016","75,568",0,"72,546","3,022",6,"3,022"
15-Jun-20,"77,326","1,758","77,326",0,"74,296","3,030",8,"3,030"
16-Jun-20,"80,109","2,783","80,109",0,"77,024","3,085",55,"3,085"
17-Jun-20,"82,719","2,610","82,719",0,"79,609","3,110",25,"3,110"
18-Jun-20,"85,926","3,207","85,926",0,"82,772","3,154",44,"3,154"
19-Jun-20,"89,748","3,822","89,748",0,"86,551","3,197",43,"3,197"
20-Jun-20,"93,797","4,049","93,797",0,"90,560","3,237",40,"3,237"
21-Jun-20,"97,291","3,494","97,291",0,"94,037","3,254",17,"3,254"
22-Jun-20,"100,217","2,926","100,217",0,"96,951","3,266",12,"3,266"
23-Jun-20,"103,503","3,286","103,503",0,"100,170","3,333",67,"3,333"
24-Jun-20,"109,014","5,511","109,014",0,"105,637","3,377",44,"3,377"
25-Jun-20,"114,018","5,004","114,018",0,"110,595","3,423",46,"3,423"
26-Jun-20,"122,960","8,942","122,960",0,"119,496","3,464",41,"3,464"
27-Jun-20,"132,545","9,585","132,545",0,"129,056","3,489",25,"3,489"
28-Jun-20,"141,075","8,530","141,075",0,"137,557","3,518",29,"3,518"
29-Jun-20,"146,341","5,266","146,341",0,"142,795","3,546",28,"3,546"
30-Jun-20,"152,434","6,093","152,434",0,"148,830","3,604",58,"3,604"
1-Jul-20,"158,997","6,563","158,997",0,"155,347","3,650",46,"3,650"
2-Jul-20,"169,106","10,109","169,106",0,"165,388","3,718",68,"3,718"
3-Jul-20,"178,594","9,488","178,594",0,"174,809","3,785",67,"3,785"
4-Jul-20,"190,052","11,458","190,052",0,"186,249","3,803",18,"3,803"
5-Jul-20,"200,111","10,059","200,111",0,"196,279","3,832",29,"3,832"
6-Jul-20,"206,447","6,336","206,447",0,"202,567","3,880",48,"3,880"
7-Jul-20,"213,794","7,347","213,794",0,"209,851","3,943",63,"3,943"
8-Jul-20,"223,783","9,989","223,783",0,"219,792","3,991",48,"3,991"
9-Jul-20,"232,718","8,935","232,718",0,"228,607","4,111",120,"4,111"
10-Jul-20,"244,151","11,433","244,151",0,"239,948","4,203",92,"4,203"
11-Jul-20,"254,511","10,360","254,511",0,"250,210","4,301",98,"4,301"
