Date,Cases confirmed plus probable,New cases,Confirmed cases,Recovered,Confirmed Deaths,New deaths,
6-Mar-20,0,0,0,0,0,0,
7-Mar-20,0,0,0,0,0,0,
8-Mar-20,0,0,0,0,0,0,
9-Mar-20,3,3,3,0,0,0,
10-Mar-20,8,5,8,0,0,0,
11-Mar-20,13,5,13,0,0,0,
12-Mar-20,14,1,14,0,0,0,
13-Mar-20,16,2,16,0,0,0,
14-Mar-20,17,1,17,0,0,0,
15-Mar-20,18,1,18,0,0,0,
16-Mar-20,22,4,22,0,0,0,
17-Mar-20,23,1,23,0,0,0,
18-Mar-20,29,6,29,0,0,0,
19-Mar-20,38,9,38,0,0,0,
20-Mar-20,45,7,45,0,0,0,
21-Mar-20,68,23,68,0,0,0,
22-Mar-20,90,22,90,0,0,0,
23-Mar-20,105,15,105,0,0,0,
24-Mar-20,124,19,124,0,0,0,
25-Mar-20,145,21,145,0,1,1,
26-Mar-20,179,34,179,15,1,0,
27-Mar-20,235,56,235,18,3,2,
28-Mar-20,298,63,298,15,3,0,
29-Mar-20,336,38,336,17,4,1,
30-Mar-20,424,88,424,23,6,2,
31-Mar-20,497,73,497,33,7,1,
1-Apr-20,549,52,549,118,9,2,
2-Apr-20,614,65,614,46,11,2,
3-Apr-20,699,85,699,188,11,0,
4-Apr-20,786,87,786,188,14,3,
5-Apr-20,868,82,868,188,22,8,
6-Apr-20,946,78,946,284,25,3,
7-Apr-20,"1,048",102,"1,048",341,26,1,
8-Apr-20,"1,145",97,"1,145",431,27,1,
9-Apr-20,"1,270",125,"1,270",476,29,2,
10-Apr-20,"1,388",118,"1,388",506,31,2,
11-Apr-20,"1,510",122,"1,510",585,34,3,
12-Apr-20,"1,587",77,"1,587",674,41,7,
13-Apr-20,"1,710",123,"1,710",741,43,2,
14-Apr-20,"1,899",189,"1,899",741,49,6,
15-Apr-20,"1,995",96,"1,995",908,53,4,
16-Apr-20,"2,141",146,"2,141",987,60,7,
17-Apr-20,"2,332",191,"2,332","1,007",64,4,
18-Apr-20,"2,513",181,"2,513","1,095",74,10,
19-Apr-20,"2,902",389,"2,902","1,171",75,1,
20-Apr-20,"3,159",257,"3,159","1,235",79,4,
21-Apr-20,"3,641",482,"3,641","1,293",83,4,
22-Apr-20,"3,748",107,"3,748","1,428",90,7,
23-Apr-20,"3,924",176,"3,924","1,492",96,6,
24-Apr-20,"4,445",521,"4,445","1,604",107,11,
25-Apr-20,"5,092",647,"5,092","1,723",112,5,
26-Apr-20,"5,476",384,"5,476","1,900",118,6,
27-Apr-20,"5,868",392,"5,868","2,021",127,9,
28-Apr-20,"6,376",508,"6,376","2,164",136,9,
29-Apr-20,"6,843",467,"6,843","2,428",148,12,
30-Apr-20,"7,145",302,"7,145","2,697",162,14,
1-May-20,"7,884",739,"7,884","2,899",170,8,
2-May-20,"8,641",757,"8,641","3,156",175,5,
3-May-20,"9,169",528,"9,169","3,325",184,9,
4-May-20,"9,703",534,"9,703","3,486",188,4,
5-May-20,"10,111",408,"10,111","3,572",207,19,
6-May-20,"10,404",293,"10,404","3,803",219,12,
7-May-20,"11,059",655,"11,059","4,266",231,12,
8-May-20,"11,457",398,"11,457","4,685",243,12,
9-May-20,"11,671",214,"11,671","5,011",252,9,
10-May-20,"11,959",288,"11,959","5,154",265,13,
11-May-20,"12,373",414,"12,373","5,249",271,6,
12-May-20,"12,912",539,"12,912","5,618",289,18,
13-May-20,"13,289",377,"13,289","5,954",306,17,
14-May-20,"13,675",386,"13,675","6,231",318,12,
15-May-20,"14,049",374,"14,049","6,561",336,18,
16-May-20,"14,328",279,"14,328","6,927",346,10,
17-May-20,"14,651",323,"14,651","7,154",351,5,
18-May-20,"14,955",304,"14,955","7,324",355,4,
19-May-20,"15,349",394,"15,349","8,130",372,17,
20-May-20,"15,614",265,"15,614","8,362",388,16,
21-May-20,"16,170",556,"16,170","8,672",406,18,
22-May-20,"16,504",334,"16,504","9,079",425,19,
23-May-20,"16,893",389,"16,893","9,254",444,19,
