LongPos_COB,Prismatic_Coeff,Len_Disp_Ratio,Beam_Draut_Ratio,Length_Beam_Ratio,Froude_Num,Residuary_Resist
0.54,0.542857143,0.55,0.464566929,0.483516484,0,0.001602307
0.54,0.542857143,0.55,0.464566929,0.483516484,0.076923077,0.004165999
0.54,0.542857143,0.55,0.464566929,0.483516484,0.153846154,0.007370614
0.54,0.542857143,0.55,0.464566929,0.483516484,0.230769231,0.012337766
0.54,0.542857143,0.55,0.464566929,0.483516484,0.307692308,0.018746996
0.54,0.542857143,0.55,0.464566929,0.483516484,0.384615385,0.029001763
0.54,0.542857143,0.55,0.464566929,0.483516484,0.461538462,0.04165999
0.54,0.542857143,0.55,0.464566929,0.483516484,0.538461538,0.060086525
0.54,0.542857143,0.55,0.464566929,0.483516484,0.615384615,0.079794905
0.54,0.542857143,0.55,0.464566929,0.483516484,0.692307692,0.114564974
0.54,0.542857143,0.55,0.464566929,0.483516484,0.769230769,0.190995033
0.54,0.542857143,0.55,0.464566929,0.483516484,0.846153846,0.322063772
0.54,0.542857143,0.55,0.464566929,0.483516484,0.923076923,0.524595417
0.54,0.542857143,0.55,0.464566929,0.483516484,1,0.792821663
0.54,0.557142857,0.55,0.090551181,1,0,4.81E-04
0.54,0.557142857,0.55,0.090551181,1,0.076923077,0.002563692
0.54,0.557142857,0.55,0.090551181,1,0.153846154,0.005768306
0.54,0.557142857,0.55,0.090551181,1,0.230769231,0.010414998
0.54,0.557142857,0.55,0.090551181,1,0.307692308,0.016824227
0.54,0.557142857,0.55,0.090551181,1,0.384615385,0.025316456
0.54,0.557142857,0.55,0.090551181,1,0.461538462,0.03717353
0.54,0.557142857,0.55,0.090551181,1,0.538461538,0.05255568
0.54,0.557142857,0.55,0.090551181,1,0.615384615,0.073706137
0.54,0.557142857,0.55,0.090551181,1,0.692307692,0.11376382
0.54,0.557142857,0.55,0.090551181,1,0.769230769,0.191956417
0.54,0.557142857,0.55,0.090551181,1,0.846153846,0.337766384
0.54,0.557142857,0.55,0.090551181,1,0.923076923,0.560807563
0.54,0.557142857,0.55,0.090551181,1,1,0.829834962
0.54,0.5,0.55,1,0.032967033,0,0.001281846
0.54,0.5,0.55,1,0.032967033,0.076923077,0.004486461
0.54,0.5,0.55,1,0.032967033,0.153846154,0.00881269
0.54,0.5,0.55,1,0.032967033,0.230769231,0.013619612
0.54,0.5,0.55,1,0.032967033,0.307692308,0.020829995
0.54,0.5,0.55,1,0.032967033,0.384615385,0.031725685
0.54,0.5,0.55,1,0.032967033,0.461538462,0.046947605
0.54,0.5,0.55,1,0.032967033,0.538461538,0.067296908
0.54,0.5,0.55,1,0.032967033,0.615384615,0.088607595
0.54,0.5,0.55,1,0.032967033,0.692307692,0.132030123
0.54,0.5,0.55,1,0.032967033,0.769230769,0.209421567
0.54,0.5,0.55,1,0.032967033,0.846153846,0.342733536
0.54,0.5,0.55,1,0.032967033,0.923076923,0.530844416
0.54,0.5,0.55,1,0.032967033,1,0.803236661
0.54,0.485714286,0.95,0.448818898,0.879120879,0,0.003044384
0.54,0.485714286,0.95,0.448818898,0.879120879,0.076923077,0.005447845
0.54,0.485714286,0.95,0.448818898,0.879120879,0.153846154,0.010254767
0.54,0.485714286,0.95,0.448818898,0.879120879,0.230769231,0.014741227
0.54,0.485714286,0.95,0.448818898,0.879120879,0.307692308,0.02179138
0.54,0.485714286,0.95,0.448818898,0.879120879,0.384615385,0.031405224
0.54,0.485714286,0.95,0.448818898,0.879120879,0.461538462,0.045185066
0.54,0.485714286,0.95,0.448818898,0.879120879,0.538461538,0.063771831
0.54,0.485714286,0.95,0.448818898,0.879120879,0.615384615,0.082999519
0.54,0.485714286,0.95,0.448818898,0.879120879,0.692307692,0.128505047
0.54,0.485714286,0.95,0.448818898,0.879120879,0.769230769,0.205896491
0.54,0.485714286,0.95,0.448818898,0.879120879,0.846153846,0.344496074
