X_pos,Altitude,kPascal,Temp_K,Mol_Weight,Density,Atmos,Y
0,0,101000,288.15,28.9502,101000,Troposphere,1
0.025,2500,89077.5,275.15,28.9502,88412.625,Troposphere,1
0.05,5000,77155,255.65,28.9502,75825.25,Troposphere,1
0.075,7500,65232.5,239.4,28.9502,63237.875,Troposphere,1
0.1,10000,53310,223.15,28.9502,50650.5,Troposphere,1
0.2,12500,41387.5,220.15,28.9502,38063.125,Tropopause,1
0.5,15000,29465,218.15,28.9502,25475.75,Stratosphere,2
0.8,17500,17542.5,218.15,28.9502,12888.375,Stratosphere,2
1.4,20000,5620,218.15,28.9502,5620,Stratosphere,2
2,22500,4955.125,220.65,28.9502,4920.4,Stratosphere,2
2.7,25000,4290.25,223.15,28.9502,4220.8,Stratosphere,2
3.6,27500,3625.375,225.65,28.9502,3521.2,Stratosphere,2
4.6,30000,2960.5,226.51,28.9502,2821.6,Stratosphere,2
5.8,32500,2295.625,231.55,28.9502,2122,Stratosphere,2
7,35000,1630.75,238.55,28.9502,1422.4,Stratosphere,2
8.4,37500,965.875,245.55,28.9502,722.8,Stratosphere,2
9.9,40000,301,252.55,28.9502,301,Stratosphere,2
11.5,42500,266.275,259.55,28.973338,263.497625,Stratosphere,2
13.3,45000,231.55,266.55,28.996475,225.99525,Stratosphere,2
15.2,47500,196.825,272.15,29.019613,188.492875,Stratopause,2
17.2,50000,162.1,270.65,29.04275,150.9905,Stratosphere,2
19.3,52500,127.375,267.95,29.065888,113.488125,Mesosphere,3
21.6,55000,92.65,260.95,29.089025,75.98575,Mesosphere,3
24,57500,57.925,253.95,29.112163,38.483375,Mesosphere,3
26.5,60000,23.2,247.02,29.1353,23.2,Mesosphere,3
29.1,62500,20.422625,239.95,28.993838,20.30024,Mesosphere,3
31.9,65000,17.64525,232.95,28.852375,17.40048,Mesosphere,3
34.7,67500,14.867875,225.98,28.710913,14.50072,Mesosphere,3
37.8,70000,12.0905,219.58,28.56945,11.60096,Mesosphere,3
40.9,72500,9.313125,213.15,28.427988,8.7012,Mesosphere,3
44.1,75000,6.53575,208.15,28.286525,5.80144,Mesosphere,3
47.5,77500,3.758375,203.15,28.145063,2.90168,Mesosphere,3
51,80000,0.981,198.64,28.0036,0.981,Mesopause,3
54.7,82500,0.861988,193.15,27.8025,0.861988,Mesosphere,3
58.4,85000,0.742975,200.95,27.6014,0.742975,Mesosphere,3
62.3,87500,0.623963,212.15,27.4003,0.623963,Mesosphere,3
66.3,90000,0.50495,228.55,27.1992,0.50495,Thermosphere,4
70.5,92500,0.385938,260.35,26.9981,0.385938,Thermosphere,4
74.7,95000,0.266925,272.55,26.797,0.266925,Thermosphere,4
79.1,97500,0.147913,279.75,26.5959,0.147913,Thermosphere,4
83.6,100000,0.0289,276.95,26.3948,0.00192,Thermosphere,4
88.2,102500,0.025528,286.939613,26.228763,0.001747,Thermosphere,4
93,105000,0.022155,296.929225,26.062725,0.001574,Thermosphere,4
97.9,107500,0.018783,306.918838,25.896688,0.001401,Thermosphere,4
102.9,110000,0.01541,316.90845,25.73065,0.001229,Thermosphere,4
108,112500,0.012038,326.898063,25.564613,0.001056,Thermosphere,4
113.3,115000,0.008665,336.887675,25.398575,0.000883,Thermosphere,4
118.7,117500,0.005293,346.877288,25.232538,0.00071,Thermosphere,4
124.2,120000,0.00192,356.8669,25.0665,0.0289,Thermosphere,4
129.8,122500,-0.001453,380.490963,24.906738,0.025314,Thermosphere,4
135.6,125000,-0.004825,404.115025,24.746975,0.021728,Thermosphere,4
141.4,127500,-0.008198,427.739088,24.587213,0.018142,Thermosphere,4
147.2,130000,-0.01157,451.36315,24.42745,0.014557,Thermosphere,4
153,132500,-0.014943,474.987213,24.267688,0.010971,Thermosphere,4
158.8,135000,-0.018315,498.611275,24.107925,0.007385,Thermosphere,4
164.6,137500,-0.021688,522.235338,23.948163,0.003799,Thermosphere,4
170.4,140000,0.000537,545.8594,23.7884,0.000537,Thermosphere,4
176.2,142500,0.000497,556.385125,23.627813,0.000482,Thermosphere,4
182,145000,0.000456,566.91085,23.467225,0.000427,Thermosphere,4
187.8,147500,0.000416,577.436575,23.306638,0.000372,Thermosphere,4
198.564103,150000,0.000375,587.9623,23.14605,0.000317,Thermosphere,4
206.632124,152500,0.000335,598.488025,22.985463,0.000262,Thermosphere,4
214.86911,155000,0.000294,609.01375,22.824875,0.000206,Thermosphere,4
223.280423,157500,0.000254,619.539475,22.664288,0.000151,Thermosphere,4
231.871658,160000,0.000213,630.0652,22.5037,0.000213,Thermosphere,4
240.648649,162500,0.000198,634.790325,22.347188,0.000192,Thermosphere,4
253.777778,165000,0.000184,639.51545,22.190675,0.000172,Thermosphere,4
260.222222,167500,0.000169,644.240575,22.034163,0.000151,Thermosphere,4
269.662921,170000,0.000155,648.9657,21.87765,0.00013,Thermosphere,4
279.318182,172500,0.00014,653.690825,21.721138,0.000109,Thermosphere,4
289.195402,175000,0.000125,658.41595,21.564625,0.000089,Thermosphere,4
299.302326,177500,0.000111,663.141075,21.408113,0.000068,Thermosphere,4
309.647059,180000,0.000096,667.8662,21.2516,0.000096,Thermosphere,4
