time,temp_change
01/01/1880,-0.17
02/01/1880,-0.23
03/01/1880,-0.08
04/01/1880,-0.15
05/01/1880,-0.09
06/01/1880,-0.20
07/01/1880,-0.17
08/01/1880,-0.09
09/01/1880,-0.14
10/01/1880,-0.23
11/01/1880,-0.21
12/01/1880,-0.17
01/01/1881,-0.19
02/01/1881,-0.13
03/01/1881,0.04
04/01/1881,0.06
05/01/1881,0.07
06/01/1881,-0.17
07/01/1881,0.01
08/01/1881,-0.02
09/01/1881,-0.14
10/01/1881,-0.20
11/01/1881,-0.17
12/01/1881,-0.06
01/01/1882,0.18
02/01/1882,0.15
03/01/1882,0.05
04/01/1882,-0.16
05/01/1882,-0.14
06/01/1882,-0.22
07/01/1882,-0.15
08/01/1882,-0.06
09/01/1882,-0.14
10/01/1882,-0.23
11/01/1882,-0.16
12/01/1882,-0.35
01/01/1883,-0.28
02/01/1883,-0.36
03/01/1883,-0.12
04/01/1883,-0.17
05/01/1883,-0.16
06/01/1883,-0.07
07/01/1883,-0.05
08/01/1883,-0.13
09/01/1883,-0.21
10/01/1883,-0.11
11/01/1883,-0.22
12/01/1883,-0.11
01/01/1884,-0.12
02/01/1884,-0.08
03/01/1884,-0.36
04/01/1884,-0.39
05/01/1884,-0.33
06/01/1884,-0.34
07/01/1884,-0.32
08/01/1884,-0.27
09/01/1884,-0.27
10/01/1884,-0.25
11/01/1884,-0.33
12/01/1884,-0.31
01/01/1885,-0.58
02/01/1885,-0.33
03/01/1885,-0.26
04/01/1885,-0.41
05/01/1885,-0.44
06/01/1885,-0.43
07/01/1885,-0.33
08/01/1885,-0.30
09/01/1885,-0.28
10/01/1885,-0.23
11/01/1885,-0.23
12/01/1885,-0.09
01/01/1886,-0.43
02/01/1886,-0.50
03/01/1886,-0.42
04/01/1886,-0.27
05/01/1886,-0.23
06/01/1886,-0.34
07/01/1886,-0.17
08/01/1886,-0.30
09/01/1886,-0.23
10/01/1886,-0.27
11/01/1886,-0.26
12/01/1886,-0.25
01/01/1887,-0.71
02/01/1887,-0.56
03/01/1887,-0.35
04/01/1887,-0.34
05/01/1887,-0.29
06/01/1887,-0.24
07/01/1887,-0.25
08/01/1887,-0.34
09/01/1887,-0.25
10/01/1887,-0.35
11/01/1887,-0.25
12/01/1887,-0.32
01/01/1888,-0.33
02/01/1888,-0.36
03/01/1888,-0.41
04/01/1888,-0.20
05/01/1888,-0.22
06/01/1888,-0.17
07/01/1888,-0.10
08/01/1888,-0.15
09/01/1888,-0.12
10/01/1888,0.01
11/01/1888,0.03
12/01/1888,-0.04
01/01/1889,-0.08
02/01/1889,0.17
03/01/1889,0.06
04/01/1889,0.10
05/01/1889,-0.01
06/01/1889,-0.10
07/01/1889,-0.08
08/01/1889,-0.20
09/01/1889,-0.24
10/01/1889,-0.26
11/01/1889,-0.33
12/01/1889,-0.29
01/01/1890,-0.41
02/01/1890,-0.44
03/01/1890,-0.40
04/01/1890,-0.29
05/01/1890,-0.39
06/01/1890,-0.24
07/01/1890,-0.28
08/01/1890,-0.39
09/01/1890,-0.36
10/01/1890,-0.25
11/01/1890,-0.43
12/01/1890,-0.31
01/01/1891,-0.34
02/01/1891,-0.47
03/01/1891,-0.18
04/01/1891,-0.27
05/01/1891,-0.16
06/01/1891,-0.21
07/01/1891,-0.17
08/01/1891,-0.17
09/01/1891,-0.16
10/01/1891,-0.22
11/01/1891,-0.31
12/01/1891,-0.05
01/01/1892,-0.29
02/01/1892,-0.10
03/01/1892,-0.40
04/01/1892,-0.33
05/01/1892,-0.23
06/01/1892,-0.22
07/01/1892,-0.32
08/01/1892,-0.27
09/01/1892,-0.16
10/01/1892,-0.14
11/01/1892,-0.42
12/01/1892,-0.38
01/01/1893,-0.81
02/01/1893,-0.57
03/01/1893,-0.22
04/01/1893,-0.27
05/01/1893,-0.34
06/01/1893,-0.26
07/01/1893,-0.14
08/01/1893,-0.25
09/01/1893,-0.22
10/01/1893,-0.18
11/01/1893,-0.19
12/01/1893,-0.31
01/01/1894,-0.52
02/01/1894,-0.29
03/01/1894,-0.23
04/01/1894,-0.45
05/01/1894,-0.30
06/01/1894,-0.40
07/01/1894,-0.24
08/01/1894,-0.23
09/01/1894,-0.28
10/01/1894,-0.23
11/01/1894,-0.25
12/01/1894,-0.21
01/01/1895,-0.41
02/01/1895,-0.43
03/01/1895,-0.33
04/01/1895,-0.21
05/01/1895,-0.27
06/01/1895,-0.21
07/01/1895,-0.17
