size,cond,side,helmet,y
S,Ambient,L,1,0
S,Ambient,R,2,1
S,Ambient,F,3,2
S,Ambient,B,4,0
S,Hot,L,1,1
S,Hot,R,2,0
S,Hot,F,3,3
S,Hot,B,4,1
S,Cold,L,1,0
S,Cold,R,2,1
S,Cold,F,3,0
S,Cold,B,4,6
S,Seawater,L,1,7
S,Seawater,R,2,6
S,Seawater,F,3,4
S,Seawater,B,4,13
M,Ambient,L,1,1
M,Ambient,R,2,1
M,Ambient,F,3,5
M,Ambient,B,4,1
M,Hot,L,1,0
M,Hot,R,2,1
M,Hot,F,3,0
M,Hot,B,4,1
M,Cold,L,1,3
M,Cold,R,2,1
M,Cold,F,3,0
M,Cold,B,4,6
M,Seawater,L,1,5
M,Seawater,R,2,1
M,Seawater,F,3,2
M,Seawater,B,4,12
L,Ambient,L,1,2
L,Ambient,R,2,0
L,Ambient,F,3,1
L,Ambient,B,4,0
L,Hot,L,1,2
L,Hot,R,2,0
L,Hot,F,3,0
L,Hot,B,4,1
L,Cold,L,1,0
L,Cold,R,2,1
L,Cold,F,3,1
L,Cold,B,4,5
L,Seawater,L,1,3
L,Seawater,R,2,2
L,Seawater,F,3,11
L,Seawater,B,4,15
XL,Ambient,L,1,1
XL,Ambient,R,2,0
XL,Ambient,F,3,2
XL,Ambient,B,4,1
XL,Hot,L,1,0
XL,Hot,R,2,2
XL,Hot,F,3,1
XL,Hot,B,4,1
XL,Cold,L,1,4
XL,Cold,R,2,1
XL,Cold,F,3,2
XL,Cold,B,4,0
XL,Seawater,L,1,6
XL,Seawater,R,2,8
XL,Seawater,F,3,12
XL,Seawater,B,4,14
