X,Year,CrimeType ,CrimeDetails,CrimeCount,State
1,2011,Murder,Murder,9,Andhra Pradesh
2,2011,Rape,Rape,46,Andhra Pradesh
3,2011,Kidnapping Abduction,Kidnapping Abduction,5,Andhra Pradesh
4,2011,Dacoity,Dacoity,0,Andhra Pradesh
5,2011,Robbery,Robbery,0,Andhra Pradesh
6,2011,Arson,Arson,0,Andhra Pradesh
7,2011,Hurt,Hurt,112,Andhra Pradesh
8,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,3,Andhra Pradesh
9,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,233,Andhra Pradesh
10,2011,Other Crimes Against STs,Other Crimes Against STs,397,Andhra Pradesh
11,201,Total,Total,805,Andhra Pradesh
12,2011,Murder,Murder,2,Arunachal Pradesh
13,2011,Rape,Rape,3,Arunachal Pradesh
14,2011,Kidnapping Abduction,Kidnapping Abduction,6,Arunachal Pradesh
15,2011,Dacoity,Dacoity,0,Arunachal Pradesh
16,2011,Robbery,Robbery,1,Arunachal Pradesh
17,2011,Arson,Arson,0,Arunachal Pradesh
18,2011,Hurt,Hurt,7,Arunachal Pradesh
19,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Arunachal Pradesh
20,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Arunachal Pradesh
21,2011,Other Crimes Against STs,Other Crimes Against STs,15,Arunachal Pradesh
22,2011,Total,Total,34,Arunachal Pradesh
23,2011,Murder,Murder,0,Assam
24,2011,Rape,Rape,0,Assam
25,2011,Kidnapping Abduction,Kidnapping Abduction,0,Assam
26,2011,Dacoity,Dacoity,0,Assam
27,2011,Robbery,Robbery,0,Assam
28,2011,Arson,Arson,0,Assam
29,2011,Hurt,Hurt,0,Assam
30,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Assam
31,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,1,Assam
32,2011,Other Crimes Against STs,Other Crimes Against STs,1,Assam
33,2011,Total,Total,2,Assam
34,2011,Murder,Murder,1,Bihar
35,2011,Rape,Rape,1,Bihar
36,2011,Kidnapping Abduction,Kidnapping Abduction,0,Bihar
37,2011,Dacoity,Dacoity,0,Bihar
38,2011,Robbery,Robbery,0,Bihar
39,2011,Arson,Arson,1,Bihar
40,2011,Hurt,Hurt,19,Bihar
41,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Bihar
42,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,71,Bihar
43,2011,Other Crimes Against STs,Other Crimes Against STs,4,Bihar
44,2011,Total,Total,97,Bihar
45,2011,Murder,Murder,22,Chhattisgarh
46,2011,Rape,Rape,90,Chhattisgarh
47,2011,Kidnapping Abduction,Kidnapping Abduction,6,Chhattisgarh
48,2011,Dacoity,Dacoity,0,Chhattisgarh
49,2011,Robbery,Robbery,2,Chhattisgarh
50,2011,Arson,Arson,0,Chhattisgarh
51,2011,Hurt,Hurt,67,Chhattisgarh
52,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Chhattisgarh
53,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,1,Chhattisgarh
54,2011,Other Crimes Against STs,Other Crimes Against STs,148,Chhattisgarh
55,2011,Total,Total,336,Chhattisgarh
56,2011,Murder,Murder,0,Goa
57,2011,Rape,Rape,0,Goa
58,2011,Kidnapping Abduction,Kidnapping Abduction,0,Goa
59,2011,Dacoity,Dacoity,0,Goa
60,2011,Robbery,Robbery,0,Goa
61,2011,Arson,Arson,0,Goa
62,2011,Hurt,Hurt,0,Goa
63,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Goa
64,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,1,Goa
65,2011,Other Crimes Against STs,Other Crimes Against STs,0,Goa
66,2011,Total,Total,1,Goa
67,2011,Murder,Murder,9,Gujarat
68,2011,Rape,Rape,20,Gujarat
69,2011,Kidnapping Abduction,Kidnapping Abduction,16,Gujarat
70,2011,Dacoity,Dacoity,1,Gujarat
71,2011,Robbery,Robbery,1,Gujarat
72,2011,Arson,Arson,3,Gujarat
73,2011,Hurt,Hurt,42,Gujarat
74,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Gujarat
75,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,23,Gujarat
76,2011,Other Crimes Against STs,Other Crimes Against STs,38,Gujarat
77,2011,Total,Total,153,Gujarat
78,2011,Murder,Murder,0,Haryana
79,2011,Rape,Rape,0,Haryana
80,2011,Kidnapping Abduction,Kidnapping Abduction,0,Haryana
81,2011,Dacoity,Dacoity,0,Haryana
82,2011,Robbery,Robbery,0,Haryana
83,2011,Arson,Arson,0,Haryana
84,2011,Hurt,Hurt,0,Haryana
85,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Haryana
86,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,0,Haryana
87,2011,Other Crimes Against STs,Other Crimes Against STs,0,Haryana
88,2011,Total,Total,0,Haryana
89,2011,Murder,Murder,0,Himachal Pradesh
90,2011,Rape,Rape,0,Himachal Pradesh
91,2011,Kidnapping Abduction,Kidnapping Abduction,0,Himachal Pradesh
92,2011,Dacoity,Dacoity,0,Himachal Pradesh
93,2011,Robbery,Robbery,0,Himachal Pradesh
94,2011,Arson,Arson,0,Himachal Pradesh
95,2011,Hurt,Hurt,0,Himachal Pradesh
96,2011,Protection of Civil Rights (PCR) Act,Protection of Civil Rights (PCR) Act,0,Himachal Pradesh
97,2011,Prevention of atrocities (POA) Act,Prevention of atrocities (POA) Act,4,Himachal Pradesh
98,2011,Other Crimes Against STs,Other Crimes Against STs,0,Himachal Pradesh
99,2011,Total,Total,4,Himachal Pradesh
100,2011,Murder,Murder,0,Jammu And Kashmir
101,2011,Rape,Rape,0,Jammu And Kashmir
102,2011,Kidnapping Abduction,Kidnapping Abduction,0,Jammu And Kashmir
103,2011,Dacoity,Dacoity,0,Jammu And Kashmir
104,2011,Robbery,Robbery,0,Jammu And Kashmir
105,2011,Arson,Arson,0,Jammu And Kashmir
