Date,Volume,Forecast,
31-Jan-02,298,298,
28-Feb-02,263,263,
31-Mar-02,544,544,
30-Apr-02,1055,1055,
31-May-02,557,557,
30-Jun-02,359,359,
31-Jul-02,419,419,
31-Aug-02,396,396,
30-Sep-02,348,348,
31-Oct-02,307,307,
30-Nov-02,271,271,
31-Dec-02,309,309,
31-Jan-03,312,312,
28-Feb-03,462,462,
31-Mar-03,455,455,
30-Apr-03,373,373,
31-May-03,324,324,
30-Jun-03,370,370,
31-Jul-03,432,432,
31-Aug-03,418,418,
30-Sep-03,471,471,
31-Oct-03,705,705,
30-Nov-03,914,914,
31-Dec-03,1216,1216,
31-Jan-04,1098,1098,
28-Feb-04,1054,1054,
31-Mar-04,1363,1363,
30-Apr-04,1738,1738,
31-May-04,1657,1657,
30-Jun-04,1963,1963,
31-Jul-04,2021,2021,
31-Aug-04,2086,2086,
30-Sep-04,2028,2028,
31-Oct-04,1982,1982,
30-Nov-04,1979,1979,
31-Dec-04,1919,1919,
31-Jan-05,1787,1787,
28-Feb-05,1740,1740,
31-Mar-05,2323,2323,
30-Apr-05,2534,2534,
31-May-05,2509,2509,
30-Jun-05,2576,2576,
31-Jul-05,2314,2314,
31-Aug-05,2983,2983,
30-Sep-05,3271,3271,
31-Oct-05,3009,3009,
30-Nov-05,3029,3029,
31-Dec-05,2819,2819,
31-Jan-06,2771,2771,
28-Feb-06,2019,2019,
31-Mar-06,2718,2718,
30-Apr-06,2670,2670,
31-May-06,2951,2951,
30-Jun-06,3484,3484,
31-Jul-06,3568,3568,
31-Aug-06,4347,4347,
30-Sep-06,3783,3783,
31-Oct-06,4384,4384,
30-Nov-06,3854,3854,
31-Dec-06,3939,3939,
31-Jan-07,4163,4163,
28-Feb-07,3641,3641,
31-Mar-07,4705,4705,
30-Apr-07,4453,4453,
31-May-07,4635,4635,
30-Jun-07,4299,4299,
31-Jul-07,4482,4482,
31-Aug-07,4264,4264,
30-Sep-07,3291,3291,
31-Oct-07,3708,3708,
30-Nov-07,2961,2961,
31-Dec-07,1732,1732,
31-Jan-08,1816,1816,
28-Feb-08,1364,1364,
31-Mar-08,1751,1751,
30-Apr-08,2783,2783,
31-May-08,2890,2890,
30-Jun-08,3731,3731,
31-Jul-08,4176,4176,
31-Aug-08,3941,3941,
30-Sep-08,3892,3892,
31-Oct-08,3768,3768,
30-Nov-08,3043,3043,
31-Dec-08,2934,2934,
31-Jan-09,2428,2428,
28-Feb-09,1970,1970,
31-Mar-09,2632,2632,
30-Apr-09,3057,3057,
31-May-09,2869,2869,
30-Jun-09,3509,3509,
31-Jul-09,3381,3381,
31-Aug-09,2847,2847,
30-Sep-09,3185,3185,
31-Oct-09,2685,2685,
30-Nov-09,2601,2601,
31-Dec-09,2891,2891,
31-Jan-10,2407,2407,
28-Feb-10,2122,2122,
31-Mar-10,3001,3001,
30-Apr-10,3807,3807,
31-May-10,3510,3510,
30-Jun-10,4375,4375,
31-Jul-10,2981,2981,
31-Aug-10,3757,3757,
30-Sep-10,3266,3266,
31-Oct-10,3081,3081,
30-Nov-10,3334,3334,
31-Dec-10,3345,3345,
31-Jan-11,3164,3164,
28-Feb-11,2737,2737,
31-Mar-11,3649,3649,
30-Apr-11,4263,4263,
31-May-11,5606,5606,
30-Jun-11,4866,4866,
31-Jul-11,5142,5142,
31-Aug-11,5691,5691,
30-Sep-11,4508,4508,
31-Oct-11,4406,4406,
30-Nov-11,4348,4348,
31-Dec-11,3892,3892,
31-Jan-12,3855,3855,
28-Feb-12,3497,3497,
31-Mar-12,4246,4246,
30-Apr-12,5179,5179,
31-May-12,5566,5566,
30-Jun-12,5664,5664,
31-Jul-12,6562,6562,
31-Aug-12,6579,6579,
30-Sep-12,5370,5370,
31-Oct-12,5770,5770,
30-Nov-12,5226,5226,
31-Dec-12,4928,4928,
31-Jan-13,5074,5074,
28-Feb-13,4191,4191,
31-Mar-13,4928,4928,
30-Apr-13,6698,6698,
31-May-13,9208,6567.809,
30-Jun-13,9352,6614.054,
31-Jul-13,10680,6660.299,
31-Aug-13,9877,6706.544,
30-Sep-13,9914,6752.789,
31-Oct-13,11839,6799.034,
30-Nov-13,9920,6845.279,
31-Dec-13,10250,6891.524,
31-Jan-14,10302,6937.769,
28-Feb-14,8111,6984.014,
31-Mar-14,9879,7030.259,
30-Apr-14,11191,7076.504,
31-May-14,10640,,
30-Jun-14,11526,,
31-Jul-14,12088,,
31-Aug-14,10907,,
30-Sep-14,10476,,
31-Oct-14,10357,,
30-Nov-14,8447,,
31-Dec-14,9256,,
31-Jan-15,8231,,
28-Feb-15,7060,,
31-Mar-15,9184,,
30-Apr-15,11086,,
31-May-15,10481,,
