date,cattle,hogs,sheep,poultry
1/1/1948,51.3,5855.4,1464,10.4
2/1/1948,37.7,5334.4,1306.7,87.6
3/1/1948,35.7,4758,1297.2,79.6
4/1/1948,45.1,5622.5,1178.1,14.7
5/1/1948,52.9,6833.5,1095.3,67.2
6/1/1948,81,7377.2,1405,84.9
7/1/1948,75.4,7398.8,1333.1,16.3
8/1/1948,83.6,5142.3,1406.2,31.2
9/1/1948,68.9,4974.6,1615.7,83.3
10/1/1948,54.1,4346.4,1768.7,15.7
11/1/1948,49.7,4477.1,1578.5,4.4
12/1/1948,45.7,4293.8,1448.4,10.2
1/1/1949,35.4,3630.4,1339,9.7
2/1/1949,29.8,3157.8,1131.7,1.8
3/1/1949,39.7,3279.1,1032.5,55.8
4/1/1949,42.4,3931.8,763.7,12.4
5/1/1949,59.2,6107.4,858.2,32.2
6/1/1949,72.3,7520.3,1010.9,23.9
7/1/1949,64.6,6986.9,1082.6,1.7
8/1/1949,66.5,6479.3,1253.8,55.6
9/1/1949,64.2,5382.8,1298.9,61.2
10/1/1949,54.7,5750.7,1287.3,22
11/1/1949,50.9,5566.7,1166.4,30.6
12/1/1949,51,3299.6,1151.6,81.6
1/1/1950,41.2,5438.3,1169.9,65.1
2/1/1950,33.2,4094.5,937.4,27.5
3/1/1950,42.6,802.2,1020,49.4
4/1/1950,44.1,4491.7,921.8,76.9
5/1/1950,58,7207.8,1034,1.3
6/1/1950,72.8,6799.5,1120.9,4.8
7/1/1950,78.5,7515,1062,33.8
8/1/1950,76.4,5080,1193.6,41.2
9/1/1950,79.9,4335,1164,86.3
10/1/1950,310.5,4622,1180.4,90.4
11/1/1950,323.2,4726,1058.5,53.9
12/1/1950,304.6,4481,989.8,65.7
1/1/1951,338.8,4248,1136.3,29.7
2/1/1951,291.3,3430,793.1,26.9
3/1/1951,265.4,3901,800.4,78.4
4/1/1951,245.7,5135,724.8,36.7
5/1/1951,260.4,6747,724.4,7.2
6/1/1951,232.8,7709,889.6,36.5
7/1/1951,283.8,6598.6,950.8,34.3
8/1/1951,273.6,4855.3,1006.4,68.9
9/1/1951,317.5,4796.6,942.6,22.4
10/1/1951,314,4476.5,1208,34.8
11/1/1951,273.8,4564.3,1014.4,15.8
12/1/1951,295,5119.4,884,33.4
1/1/1952,310.2,3748.8,1130.6,32.8
2/1/1952,220.8,3088,1063.5,47.4
3/1/1952,200.9,3674.6,1041.9,63.5
4/1/1952,164.7,5049.3,1031.7,84.8
5/1/1952,176.5,6455.6,1026.7,29.1
6/1/1952,205.1,7242,1028.5,79.9
7/1/1952,207.6,6526.6,1024.7,38.5
8/1/1952,217.1,5133.3,1142.4,37
9/1/1952,275.8,5427.4,1387.8,13.2
10/1/1952,277.8,4823.9,1573.2,13.1
11/1/1952,244.1,4575.2,1180.2,89.8
12/1/1952,265.1,4504.8,1331.2,30.5
1/1/1953,276.7,3836.1,1406.6,0.7
2/1/1953,234.3,4226,1180.2,96.3
3/1/1953,246.8,4800.1,1296.1,1.9
4/1/1953,213.7,5967.1,1226.6,98.5
5/1/1953,193.7,7192.7,1135.7,34.6
6/1/1953,200,7747.8,1202.7,22.7
7/1/1953,214.6,7108.1,1259.1,43.4
8/1/1953,246.8,5309.6,1308.6,58.3
9/1/1953,241.5,6192,1537.3,71.2
10/1/1953,233.5,5339.1,1720.8,3
11/1/1953,223.2,5320,1316.5,25.1
12/1/1953,236.3,5035.5,1377.2,91.8
1/1/1954,258.8,4091.9,1387.8,68.7
2/1/1954,217.7,4505.8,1211.2,38.8
3/1/1954,208.4,5066.5,1274.2,94.5
4/1/1954,178.3,6179.8,1235.3,10.2
5/1/1954,181.5,7342.3,1178.2,51.4
6/1/1954,201.8,8052.8,1354.3,10.3
7/1/1954,222.7,8047.5,1368.6,36.3
8/1/1954,209.4,5364.8,1368.5,55.7
9/1/1954,233,6326.7,1465.8,47
10/1/1954,216.2,6110.6,1450.3,96.1
11/1/1954,199.9,6002.5,1313.2,64.5
12/1/1954,202.8,5658.4,1312.2,93.3
1/1/1955,1951.3,4670.3,1372.6,28.4
2/1/1955,1656.2,5317.7,1203.8,17.8
3/1/1955,1880.2,5472.9,1387.2,17.2
4/1/1955,1768.9,6949.4,1322.9,34.2
5/1/1955,1937.7,7855.8,1367.1,63.9
6/1/1955,2063.6,8284.7,1366,56.5
7/1/1955,1920.5,8415.2,1219.6,86.5
8/1/1955,2256.4,7164.1,1407.2,33.8
9/1/1955,2199.5,7140.1,1517.9,74.2
10/1/1955,2120.7,6562.7,1412,30.2
11/1/1955,2062.3,5621.8,1333.9,66.2
12/1/1955,1945,5255.6,1304.9,87.1
