date,cattle,hogs,sheep,poultry
1/1/1948,51.3,144.6,1464,10.4
2/1/1948,37.7,665.6,1306.7,87.6
3/1/1948,35.7,1242,1297.2,79.6
4/1/1948,45.1,377.5,1178.1,14.7
5/1/1948,52.9,833.5,1095.3,67.2
6/1/1948,81,1377.2,1405,84.9
7/1/1948,75.4,1398.8,1333.1,16.3
8/1/1948,83.6,857.7,1406.2,31.2
9/1/1948,68.9,1025.4,1615.7,83.3
10/1/1948,54.1,1653.6,1768.7,15.7
11/1/1948,49.7,1522.9,1578.5,4.4
12/1/1948,45.7,1706.2,1448.4,10.2
1/1/1949,35.4,2369.6,1339,9.7
2/1/1949,29.8,2842.2,1131.7,1.8
3/1/1949,39.7,2720.9,1032.5,55.8
4/1/1949,42.4,2068.2,763.7,12.4
5/1/1949,59.2,107.4,858.2,32.2
6/1/1949,72.3,1520.3,1010.9,23.9
7/1/1949,64.6,986.9,1082.6,1.7
8/1/1949,66.5,479.3,1253.8,55.6
9/1/1949,64.2,617.2,1298.9,61.2
10/1/1949,54.7,249.3,1287.3,22
11/1/1949,50.9,433.3,1166.4,30.6
12/1/1949,51,2700.4,1151.6,81.6
1/1/1950,41.2,561.7,1169.9,65.1
2/1/1950,33.2,1905.5,937.4,27.5
3/1/1950,42.6,802.2,1020,49.4
4/1/1950,44.1,1508.3,921.8,76.9
5/1/1950,58,1207.8,1034,1.3
6/1/1950,72.8,799.5,1120.9,4.8
7/1/1950,78.5,1515,1062,33.8
8/1/1950,76.4,920,1193.6,41.2
9/1/1950,79.9,1665,1164,86.3
10/1/1950,310.5,1378,1180.4,90.4
11/1/1950,323.2,1274,1058.5,53.9
12/1/1950,304.6,1519,989.8,65.7
1/1/1951,338.8,1752,1136.3,29.7
2/1/1951,291.3,2570,793.1,26.9
3/1/1951,265.4,2099,800.4,78.4
4/1/1951,245.7,865,724.8,36.7
5/1/1951,260.4,747,724.4,7.2
6/1/1951,232.8,1709,889.6,36.5
7/1/1951,283.8,598.6,950.8,34.3
8/1/1951,273.6,1144.7,1006.4,68.9
9/1/1951,317.5,1203.4,942.6,22.4
10/1/1951,314,1523.5,1208,34.8
11/1/1951,273.8,1435.7,1014.4,15.8
12/1/1951,295,880.6,884,33.4
1/1/1952,310.2,2251.2,1130.6,32.8
2/1/1952,220.8,2912,1063.5,47.4
3/1/1952,200.9,2325.4,1041.9,63.5
4/1/1952,164.7,950.7,1031.7,84.8
5/1/1952,176.5,455.6,1026.7,29.1
6/1/1952,205.1,1242,1028.5,79.9
7/1/1952,207.6,526.6,1024.7,38.5
8/1/1952,217.1,866.7,1142.4,37
9/1/1952,275.8,572.6,1387.8,13.2
10/1/1952,277.8,1176.1,1573.2,13.1
11/1/1952,244.1,1424.8,1180.2,89.8
12/1/1952,265.1,1495.2,1331.2,30.5
1/1/1953,276.7,2163.9,1406.6,0.7
2/1/1953,234.3,1774,1180.2,96.3
3/1/1953,246.8,1199.9,1296.1,1.9
4/1/1953,213.7,32.9,1226.6,98.5
5/1/1953,193.7,1192.7,1135.7,34.6
6/1/1953,200,1747.8,1202.7,22.7
7/1/1953,214.6,1108.1,1259.1,43.4
8/1/1953,246.8,690.4,1308.6,58.3
9/1/1953,241.5,192,1537.3,71.2
10/1/1953,233.5,660.9,1720.8,3
11/1/1953,223.2,680,1316.5,25.1
12/1/1953,236.3,964.5,1377.2,91.8
1/1/1954,258.8,1908.1,1387.8,68.7
2/1/1954,217.7,1494.2,1211.2,38.8
3/1/1954,208.4,933.5,1274.2,94.5
4/1/1954,178.3,179.8,1235.3,10.2
5/1/1954,181.5,1342.3,1178.2,51.4
6/1/1954,201.8,2052.8,1354.3,10.3
7/1/1954,222.7,2047.5,1368.6,36.3
8/1/1954,209.4,635.2,1368.5,55.7
9/1/1954,233,326.7,1465.8,47
10/1/1954,216.2,110.6,1450.3,96.1
11/1/1954,199.9,2.5,1313.2,64.5
12/1/1954,202.8,341.6,1312.2,93.3
1/1/1955,1951.3,1329.7,1372.6,28.4
2/1/1955,1656.2,682.3,1203.8,17.8
3/1/1955,1880.2,527.1,1387.2,17.2
4/1/1955,1768.9,949.4,1322.9,34.2
5/1/1955,1937.7,1855.8,1367.1,63.9
6/1/1955,2063.6,2284.7,1366,56.5
7/1/1955,1920.5,2415.2,1219.6,86.5
8/1/1955,2256.4,1164.1,1407.2,33.8
9/1/1955,2199.5,1140.1,1517.9,74.2
10/1/1955,2120.7,562.7,1412,30.2
11/1/1955,2062.3,378.2,1333.9,66.2
12/1/1955,1945,744.4,1304.9,87.1
1/1/1956,2091,1342.9,1482.1,79.3
2/1/1956,1851.2,1358.5,1307.2,46
3/1/1956,1902.7,521.3,1363.9,15.4
4/1/1956,1907.5,878,1268.9,19.9
5/1/1956,2060.1,1098.7,1214.6,30.8
6/1/1956,2058.5,2776.6,1228.3,12.7
7/1/1956,2130.3,1763.9,1308.3,90.6
8/1/1956,2197.2,188.3,1424,59.6
9/1/1956,2037.1,232,1312.6,38.3
10/1/1956,2456.9,549.8,1617.4,79
11/1/1956,2246,1451.6,1277.7,63.6
12/1/1956,2057.6,1551.7,1188.4,20.5
1/1/1957,2319.7,1894,1489.1,61
2/1/1957,1865.8,1721.5,1220.7,36.7
3/1/1957,1927.6,921.7,1142.4,99.8
4/1/1957,1922.3,94.4,1213,4.5
5/1/1957,2093.5,649.4,1286.4,19
6/1/1957,1966.9,452.2,1185.6,33.1
