month,year,date,sp_composite,dividend,earnings,cpi,lg_int_rate,real_price,real_div,real_earn,cyclic_adj,nom_home
1,1992,1/31/1992,416.08,12.24,16.05,138.1,7.03,784.74,23.09,30.26,19.77,75.69
2,1992,2/29/1992,412.56,12.28,16.12,138.6,7.34,775.29,23.08,30.3,19.58,75.65
3,1992,3/31/1992,407.36,12.32,16.19,139.3,7.54,761.68,23.04,30.27,19.28,75.81
4,1992,4/30/1992,407.41,12.32,16.48,139.5,7.48,760.68,23,30.78,19.3,76.08
5,1992,5/31/1992,414.81,12.32,16.77,139.7,7.39,773.38,22.97,31.26,19.66,76.4
6,1992,6/30/1992,408.27,12.32,17.05,140.2,7.26,758.48,22.89,31.68,19.32,76.6
7,1992,7/31/1992,415.05,12.34,17.38,140.5,6.84,769.43,22.88,32.22,19.62,76.71
8,1992,8/31/1992,417.93,12.37,17.71,140.9,6.59,772.57,22.86,32.74,19.72,76.73
9,1992,9/30/1992,418.48,12.4,18.04,141.3,6.42,771.39,22.86,33.25,19.71,76.63
10,1992,10/31/1992,412.5,12.39,18.39,141.8,6.59,757.69,22.75,33.78,19.37,76.6
11,1992,11/30/1992,422.84,12.38,18.74,142,6.87,775.59,22.71,34.37,19.83,76.58
12,1992,12/31/1992,435.64,12.39,19.09,141.9,6.77,799.63,22.74,35.04,20.45,76.47
13,1993,1/31/1993,435.23,12.41,19.34,142.6,6.6,794.95,22.67,35.32,20.32,76.4
14,1993,2/28/1993,441.7,12.45,19.59,143.1,6.26,803.95,22.65,35.66,20.55,76.33
15,1993,3/31/1993,450.16,12.48,19.84,143.6,5.98,816.50,22.64,35.99,20.86,76.38
16,1993,4/30/1993,443.08,12.49,19.67,144,5.97,801.42,22.6,35.58,20.46,76.66
17,1993,5/31/1993,445.25,12.51,19.5,144.2,6.04,804.23,22.59,35.22,20.52,77.03
18,1993,6/30/1993,448.06,12.52,19.33,144.4,5.96,808.19,22.58,34.87,20.61,77.52
