person,tot,time,role,dialogue
OBAMA,4.1,time 3,candidate,"Well, my first job as commander in chief, Bob, is to keep the American people safe."
OBAMA,4.1,time 3,candidate,"Keep in mind that I and Americans took leadership in organizing an international coalition that made sure that we were able to, without putting troops on the ground at the cost of less than what we spent in two weeks in Iraq, liberate a country that had been under the yoke of dictatorship for forty years."
OBAMA,4.11,time 3,candidate,"Got rid of a despot who had killed Americans and as a consequence, despite this tragedy, you had tens of thousands of Libyans after the events in Benghazi marching and saying America is our friend."
OBAMA,4.12,time 3,candidate,We stand with them.
OBAMA,4.13,time 3,candidate,Now that represents the opportunity we have to take advantage of.
OBAMA,4.14,time 3,candidate,"And, you know, Governor Romney, I'm glad that you agree that we have been successful in going after Al Qaida, but I have to tell you that, you know, your strategy previously has been one that has been all over the map and is not designed to keep Americans safe or to build on the opportunities that exist in the Middle East."
OBAMA,4.2,time 3,candidate,And that's what we've done over the last four years.
OBAMA,4.3,time 3,candidate,"We ended the war in Iraq, refocused our attention on those who actually killed us on nine/eleven."
OBAMA,4.4,time 3,candidate,"And as a consequence, Al Qaeda's core leadership has been decimated."
OBAMA,4.5,time 3,candidate,"In addition, we're now able to transition out of Afghanistan in a responsible way, making sure that Afghans take responsibility for their own security."
OBAMA,4.6,time 3,candidate,And that allows us also to rebuild alliances and make friends around the world to combat future threats.
OBAMA,4.7,time 3,candidate,"Now with respect to Libya, as I indicated in the last debate, when we received that phone call, I immediately made sure that, number one, that we did everything we could to secure those Americans who were still in harm's way; number two, that we would investigate exactly what happened, and number three, most importantly, that we would go after those who killed Americans and we would bring them to justice."
OBAMA,4.8,time 3,candidate,And that's exactly what we're going to do.
OBAMA,4.9,time 3,candidate,But I think it's important to step back and think about what happened in Libya.
OBAMA,5.1,time 1,candidate,"Jim, if I if I can just respond very quickly, first of all, every study has shown that Medicare has lower administrative costs than private insurance does, which is why seniors are generally pretty happy with it."
OBAMA,5.1,time 1,candidate,And that's why they were supportive of the approach that we took.
OBAMA,5.11,time 1,candidate,One last point I want to make.
OBAMA,5.12,time 1,candidate,"We do have to lower the cost of health care, not just in Medicare and Medicaid|"
OBAMA,5.2,time 1,candidate,And private insurers have to make a profit.
OBAMA,5.3,time 1,candidate,Nothing wrong with that.
OBAMA,5.4,time 1,candidate,That's what they do.
