Date,Value
1/1/1950,1.5
2/1/1950,0.9
3/1/1950,-0.1
4/1/1950,-0.3
5/1/1950,-0.7
6/1/1950,0.2
7/1/1950,-1
8/1/1950,-0.2
9/1/1950,-1.1
10/1/1950,-1
11/1/1950,-0.8
12/1/1950,-0.7
1/1/1951,-0.9
2/1/1951,-0.6
3/1/1951,0.5
4/1/1951,-0.2
5/1/1951,0.8
6/1/1951,0.7
7/1/1951,0.5
8/1/1951,0.1
9/1/1951,-0.2
10/1/1951,0.4
11/1/1951,0
12/1/1951,-1.2
1/1/1952,0.3
2/1/1952,-0.5
3/1/1952,-0.2
4/1/1952,0.2
5/1/1952,-1.7
6/1/1952,0.1
7/1/1952,0
8/1/1952,-1.2
9/1/1952,-1.2
10/1/1952,0.1
11/1/1952,-0.3
12/1/1952,-0.5
1/1/1953,0.7
2/1/1953,-0.3
3/1/1953,0.3
4/1/1953,0.6
5/1/1953,0.5
6/1/1953,0.1
7/1/1953,0.4
8/1/1953,1.1
9/1/1953,0.2
10/1/1953,0.3
11/1/1953,0.1
12/1/1953,1.4
1/1/1954,-0.5
2/1/1954,1.9
3/1/1954,0.6
4/1/1954,-0.1
5/1/1954,1
6/1/1954,1.3
7/1/1954,1.6
8/1/1954,1.5
9/1/1954,1.3
10/1/1954,1.5
11/1/1954,1.2
12/1/1954,1
1/1/1955,1.3
2/1/1955,1.6
3/1/1955,1.3
4/1/1955,0.9
5/1/1955,1.4
6/1/1955,1.1
7/1/1955,1.1
8/1/1955,1.2
9/1/1955,0.1
10/1/1955,1.8
11/1/1955,0.2
12/1/1955,1.1
1/1/1956,0.6
2/1/1956,-0.1
3/1/1956,0.2
4/1/1956,0.2
5/1/1956,-0.7
6/1/1956,0.2
7/1/1956,0.2
8/1/1956,-0.5
9/1/1956,-0.9
10/1/1956,0
11/1/1956,-1
12/1/1956,-0.3
1/1/1957,-1.9
2/1/1957,-0.5
3/1/1957,0.3
4/1/1957,0.4
5/1/1957,-0.5
6/1/1957,0.3
7/1/1957,0.4
8/1/1957,0.9
9/1/1957,-0.3
10/1/1957,0.1
11/1/1957,-0.4
12/1/1957,-0.6
1/1/1958,-0.9
2/1/1958,-1.4
3/1/1958,1.3
4/1/1958,0.4
5/1/1958,0.5
6/1/1958,-0.1
7/1/1958,-0.3
8/1/1958,-0.1
9/1/1958,0
10/1/1958,0.5
11/1/1958,0.9
12/1/1958,0.9
1/1/1959,0.1
2/1/1959,0.1
3/1/1959,1
4/1/1959,0.8
5/1/1959,0.5
6/1/1959,0.1
7/1/1959,0.5
8/1/1959,0.8
9/1/1959,0.7
10/1/1959,0.1
11/1/1959,0.5
12/1/1959,0.8
1/1/1960,-0.3
2/1/1960,0.9
3/1/1960,-1.8
4/1/1960,0.8
5/1/1960,0.3
6/1/1960,0.1
7/1/1960,0.2
8/1/1960,0.2
9/1/1960,0.1
10/1/1960,-0.3
11/1/1960,0.5
12/1/1960,1.5
1/1/1961,2
2/1/1961,-0.3
3/1/1961,0.1
