RSO_Identifier,RSO_Weight,RSO_Density,RSO_Visibility,RSO_MRP,Orbit_Establishment_Year,Orbit_Height,Stealth_Type,RSO_Type,Survivability
FDR37,12.85764518,2,0.065928735,283.0292,2009,2,5,3,8209.314
FDX09,9,1,0.065515067,278.137,2009,2,5,2,1058.622
FDF04,17.5,3,0.013692598,269.7304,2009,2,5,2,3616.6256
FDA15,9.3,1,0.016087659,269.6092,2009,2,5,2,5976.2208
FDA38,5.44,1,0.025583714,269.1538,2009,2,5,2,480.7076
FDX13,12.85908943,1,0.047551568,269.1092,2007,2,5,3,8217.3036
NCO55,12.8,3,0.091408076,268.9938,2009,2,5,2,1071.938
FDC17,12.8590978,1,0.015385857,268.9928,2008,2,5,3,9678.0688
FDX50,20.1,1,0.074931201,268.9228,2009,2,5,2,1105.228
FDD44,8.05,2,0.078719835,268.5646,2009,2,5,2,3091.9752
FDC40,16,2,0.065328932,268.4986,2009,2,5,2,1791.6678
FDG20,15.5,2,0.126199917,268.4028,2009,2,5,2,1239.7196
FDY55,16.75,1,0.08165147,268.3988,2009,2,5,2,1541.9928
FDM27,12.35,2,0.15911489,268.1946,2009,2,5,2,1104.5622
FDO03,12.85745283,2,0.03670437,268.1352,2008,2,5,3,9390.4432
FDI50,12.85745283,2,0.030693309,268.0352,2008,2,5,3,10306.584
FDQ14,9.27,1,0.062038986,268.005,2009,2,5,2,1797.66
FDS45,5.175,2,0.029616108,267.7622,2009,2,5,2,2011.3818
FDZ36,6.035,2,0.066051758,267.724,2009,2,5,2,2050.664
FDM39,12.86002058,1,0.053211728,267.6002,2007,2,5,3,8417.7094
FDO32,6.36,1,0.121034655,267.506,2009,2,5,2,1071.938
NCT30,9.1,1,0.080619969,267.4718,2009,2,5,2,472.718
FDB52,17.75,1,0.030559583,267.4672,2009,2,5,2,3835.008
FDP20,19.85,1,0.045855273,267.102,2009,2,5,2,1771.028
DRE48,12.85979054,1,0.01724183,267.0768,2008,2,5,3,8868.456
FDM20,10,1,0.066157768,266.9144,2009,2,5,2,3185.1872
FDR25,17,2,0.139521931,266.8884,2007,2,5,1,5034.7796
FDS13,6.465,1,0.125210375,266.8884,2007,1,2,1,1059.9536
FDI41,18.5,2,0.062510529,266.8418,2009,2,5,2,2059.9852
NCS29,9,1,0.069487587,266.6884,2006,3,5,1,3974.826
FDK51,19.85,1,0.008762556,266.6884,1998,1,2,4,2264.9884
FDD08,8.3,1,0.03549838,266.6506,2009,2,5,2,455.4072
NCS29,9,1,0.06953231,266.5884,2004,1,4,1,6624.71
FDS13,12.86046773,1,0.21799414,266.5884,1985,1,2,4,3324.942
FDO34,17.7,1,0.030060895,266.4816,2009,2,5,2,2013.3792
FDT07,5.82,2,0.077634044,266.433,2009,2,5,2,3844.995
NCS29,9,1,0.069653585,266.2884,2008,2,5,1,2914.8724
NCF42,17.35,1,0.168064909,266.2712,2009,2,5,2,1230.3984
FDV39,11.3,1,0.007309544,266.2426,2009,2,5,2,4943.565
NCN54,20.35,1,0.021413346,266.2328,2009,2,5,2,463.3968
FDS13,6.465,1,0.124402507,266.1884,2009,3,3,1,5299.768
FDK51,19.85,1,0.005243282,266.1884,1999,1,2,1,3179.8608
FDG52,13.65,1,0.065898197,266.1402,2009,2,5,2,459.402
NCM05,12.85965053,1,0.104784329,266.0226,1985,1,1,4,2528.6452
NCM17,7.93,1,0.071425647,265.9086,2009,2,5,2,1070.6064
FDK51,19.85,1,0.005235143,265.8884,1997,1,2,1,2649.884
FDY35,17.6,2,0.016092971,265.8402,2009,2,5,2,1102.5648
FDY55,12.858682,1,0.066145212,265.7988,2008,2,5,3,9251.9568
FDR25,17,2,0.139804885,265.7884,2002,1,2,1,3974.826
FDR25,17,2,0.140311123,265.6884,2007,1,2,1,2649.884
FDU12,15.5,2,0.075736746,265.5568,2004,2,5,1,4482.1656
FDP15,12.85712566,1,0.083536071,265.433,2008,2,5,3,9227.988
FDK51,12.85712566,1,0.005209791,265.2884,2008,2,5,3,3179.8608
FDS13,6.465,1,0.208397715,265.2884,1998,1,2,4,2264.9884
NCH18,12.85803648,1,0.044444956,265.2802,2007,2,5,3,10072.8882
FDB15,10.895,1,0.136784873,265.2568,2004,3,3,1,4218.5088
FDV49,10,1,0.025879577,265.2226,2002,1,3,1,5815.0972
FDR25,17,2,0.140090284,265.1884,2009,2,5,2,6359.7216
FDK51,19.85,1,0.005230786,265.1884,2002,3,3,1,5034.7796
FDN27,20.85,1,0.066120202,265.1808,2009,2,5,2,1054.6272
FDU12,15.5,2,0.076059648,265.1568,2009,1,3,2,2109.2544
FDI15,13.8,1,0.141325834,265.0884,2004,2,4,1,8479.6288
NCE42,12.85548495,1,0.01055095,264.9958,2008,2,5,3,13086.9648
FDL58,5.78,2,0.074087369,264.9568,2004,3,4,1,6855.0768
FDL58,5.78,2,0.07429945,204.9568,2002,1,2,1,1845.5976
FDK03,12.85750392,2,0.073562475,264.9356,2008,2,5,3,8138.7392
FDF59,12.5,3,0.071534226,264.902,2009,2,5,2,1771.028
FDF05,17.5,1,0.026848529,264.891,2009,3,3,1,4996.829
NCS29,9,1,0.069938838,264.8884,2007,2,5,1,2914.8724
FDY02,8.945,2,0.066125288,204.791,2007,1,2,1,4733.838
NCB31,6.235,1,0.118915034,204.791,2002,1,2,1,2103.928
FDS13,6.465,3,0.124506117,264.7884,2007,2,5,1,3709.8376
FDL58,5.78,2,0.074264356,204.7568,1999,2,2,1,4745.8224
FDS44,12.86087118,2,0.15528831,264.7538,2008,2,5,3,9133.4444
NCI17,8.645,1,0.144006886,264.741,2009,2,5,2,1061.951
FDV49,10,1,0.025932408,264.7226,2009,2,5,2,3171.8712
FDP07,18.2,1,0.090267996,264.711,2009,2,5,2,4910.275
FDK40,7.035,1,0.021938404,264.691,2009,2,3,2,5785.802
FDQ19,12.86195199,2,0.014295564,264.6512,2007,2,5,3,12117.56
FDV49,10,1,0.025867353,264.6226,2009,2,5,1,4757.8068
FDK51,19.85,1,0.005264755,224.5884,2007,1,3,1,5829.7448
FDL58,5.78,2,0.074451126,224.5568,2009,3,4,2,6327.7632
FDB15,10.895,1,0.136696892,204.5568,2007,3,3,1,5536.7928
FDY14,10.3,3,0.070149088,204.5226,2007,2,3,1,3436.1938
FDX31,20.35,2,0.014885998,264.4958,2009,2,5,2,3271.7412
FDA21,13.65,1,0.035930784,264.4924,2009,3,5,1,9069.5276
FDO09,13.5,2,0.125469442,244.491,2000,3,4,1,6574.775
FDF05,17.5,1,0.02687089,224.491,2007,1,3,1,3681.874
FDG26,18.85,1,0.04282359,264.433,2009,2,5,2,2050.664
FDC50,15.85,1,0.137053947,264.4094,2009,2,5,2,1047.3034
FDF05,17.5,1,0.026925385,224.391,2002,1,3,1,5259.82
FDB15,10.895,1,0.137368051,264.3568,2009,3,4,2,4745.8224
FDX02,16,1,0.057292529,264.3404,2009,2,5,2,4500.808
NCM05,6.825,1,0.059835659,204.3226,2004,1,2,1,4229.1616
FDW34,12.8598303,1,0.035406842,264.317,2007,2,5,3,8262.578
FDP33,12.8598303,1,0.088839949,264.2672,2008,2,5,3,10993.6896
FDZ43,12.8598303,2,0.056782237,264.2512,2008,2,5,3,8239.9408
FDS56,5.785,2,0.038976089,204.2252,2007,1,2,1,3934.878
FDS13,6.465,1,0.124758619,224.1884,2002,1,3,1,3444.8492
FDI15,13.8,1,0.141352562,204.1884,1997,1,2,1,3179.8608
NCS29,12.86162536,1,0.121765124,164.1884,1985,1,1,4,2264.9884
FDI09,20.75,2,0.129864461,264.188,2009,2,5,2,5992.2
NCG43,20.2,1,0.074541867,264.1462,2009,2,5,2,1758.3778
FDA47,10.5,2,0.117149075,264.121,2009,2,5,2,1794.331
DRK23,8.395,1,0.07226985,264.104,2009,2,5,2,3542.056
FDY02,12.86042144,2,0.153456703,164.091,1985,1,1,4,2262.991
FDK51,19.85,1,0.005234153,224.0884,2004,3,3,1,5829.7448
NCS29,12.85941935,3,0.069208684,204.0884,1985,2,2,3,4504.8028
FDP16,18.6,1,0.039454924,264.0802,2009,2,5,2,3193.8426
FDL58,5.78,2,0.074135053,204.0568,2004,1,2,1,2109.2544
DRG37,16.2,1,0.019457372,263.9972,2009,1,5,2,1246.3776
FDY02,12.85913224,2,0.087221497,263.991,2009,2,5,3,9467.676
NCB31,6.235,1,0.118651919,213.991,2004,1,2,1,4207.856
DRO47,10.195,1,0.112681821,263.986,2009,2,5,2,452.744
FDU12,15.5,2,0.075904695,213.9568,2002,1,2,1,4745.8224
FDS56,5.785,2,0.038724612,263.9252,2000,3,4,1,6033.4796
DRL01,12.86110146,2,0.076798609,263.8958,2009,2,5,3,8413.0488
FDU12,12.86110146,2,0.132630345,263.8568,1985,1,1,4,2790.9704
NCB31,6.235,1,0.119157788,263.791,2009,2,5,2,2103.928
FDK40,7.035,3,0.021883368,223.791,2004,2,3,1,4996.829
FDF39,14.85,2,0.019550858,203.791,2002,1,2,1,4207.856
FDI15,13.8,1,0.066068915,263.7884,2000,3,4,1,3709.8376
FDI15,13.8,1,0.141234932,213.7884,2004,3,3,1,5564.7564
FDR25,12.86233448,2,0.138846289,203.7884,1985,2,2,3,1324.942
FDB15,10.895,1,0.137023446,263.7568,2000,3,4,1,7646.0472
FDL58,5.78,2,0.066050717,203.7568,2007,1,2,1,2636.568
NCM05,12.86363454,1,0.059557164,263.7226,2002,3,4,3,6872.3876
FDP57,17.5,1,0.052657753,263.699,2009,2,5,2,1031.99
NCS06,7.935,1,0.066060954,163.691,1997,1,1,1,2788.973
FDR59,12.86367653,2,0.063554289,203.6594,1985,2,2,3,3401.5722
FDY14,10.3,1,0.070026951,263.6226,2004,1,4,1,6608.065
DRF37,17.25,1,0.066068652,203.591,2002,1,2,1,2788.973
NCS06,12.86341455,1,0.055566935,163.591,1985,1,1,4,2262.991
FDI15,13.8,1,0.14215211,213.5884,2007,1,2,1,2384.8956
FDG33,5.365,2,0.140811559,263.5764,2009,2,5,2,2061.3168
FDY02,8.945,2,0.087629354,213.491,2004,1,2,1,1840.937
FDN48,13.35,1,0.065215312,263.4804,2009,2,5,2,1102.5648
FDI34,10.65,2,0.085482761,263.4668,2009,2,5,2,3225.1352
FDB15,10.895,1,0.228993134,203.4568,1998,1,2,4,527.3136
DRF37,17.25,1,0.084316691,263.391,2004,1,4,1,6311.784
FDV26,12.86482302,2,0.075791641,263.3794,2008,2,5,3,8388.4142
NCB31,6.235,1,0.118858866,203.291,1999,2,2,1,3418.883
FDK40,7.035,1,0.066025928,203.291,1998,1,2,4,2525.982
FDR12,12.6,2,0.031663212,263.2764,2009,2,5,2,1030.6584
