date,unemp
Jun-97,6799
Jul-97,6655
Aug-97,6608
Sep-97,6656
Oct-97,6454
Nov-97,6308
Dec-97,6476
Jan-98,6368
Feb-98,6306
Mar-98,6422
Apr-98,5941
May-98,6047
Jun-98,6212
Jul-98,6259
Aug-98,6179
Sep-98,6300
Oct-98,6280
Nov-98,6100
Dec-98,6032
Jan-99,5976
Feb-99,6111
Mar-99,5783
Apr-99,6004
May-99,5796
Jun-99,5951
Jul-99,6025
Aug-99,5838
Sep-99,5915
Oct-99,5778
Nov-99,5716
Dec-99,5653
Jan-00,5708
Feb-00,5858
Mar-00,5733
Apr-00,5481
May-00,5758
Jun-00,5651
Jul-00,5747
Aug-00,5853
Sep-00,5625
Oct-00,5534
Nov-00,5639
Dec-00,5634
Jan-01,6023
Feb-01,6089
Mar-01,6141
Apr-01,6271
May-01,6226
Jun-01,6484
Jul-01,6583
Aug-01,7042
Sep-01,7142
Oct-01,7694
Nov-01,8003
Dec-01,8258
Jan-02,8182
Feb-02,8215
Mar-02,8304
Apr-02,8599
May-02,8399
Jun-02,8393
Jul-02,8390
Aug-02,8304
Sep-02,8251
Oct-02,8307
Nov-02,8520
Dec-02,8640
Jan-03,8523
Feb-03,8622
Mar-03,8576
Apr-03,8833
May-03,8948
Jun-03,9254
Jul-03,9018
Aug-03,8894
Sep-03,8928
Oct-03,8731
Nov-03,8590
Dec-03,8338
Jan-04,8367
Feb-04,8171
Mar-04,8452
Apr-04,8155
May-04,8197
Jun-04,8259
Jul-04,8163
Aug-04,7993
Sep-04,7953
Oct-04,8052
Nov-04,7950
Dec-04,7997
Jan-05,7756
Feb-05,7966
Mar-05,7683
Apr-05,7657
May-05,7656
Jun-05,7507
Jul-05,7464
Aug-05,7360
Sep-05,7606
