,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1973,160.218,143.539,148.158,139.589,147.395,161.244,173.733,177.365,156.875,154.197,148.138,153.605
1974,157.555,142.748,150.342,142.312,153.813,156.44,178.247,174.119,152.467,152.196,150.071,160.009
1975,164.623,147.349,155.76,146.495,153.531,162.717,177.057,179.931,155.441,155.188,153.035,169.628
1976,178.609,156.966,164.467,153.467,157.664,173.674,186.691,186.639,165.237,164.009,169.346,184.144
1977,196.665,162.949,169.437,157.117,169.596,181.031,199.168,196.363,176.498,166.645,167.388,184.589
1978,198.108,173.746,173.461,160.013,175.549,188.585,202.947,206.659,185.802,176.013,176.389,192.105
1979,209.987,186.587,183.154,170.26,178.409,186.976,202.522,205.101,180.975,179.953,177.77,188.97
1980,200.296,188.961,187.745,169.017,176.066,189.748,217.058,215.629,191.698,178.761,178.771,195.849
1981,206.758,179.86,185.834,172.841,178.139,203.021,220.655,210.639,187.051,181.558,175.792,195.826
1982,209.694,180.546,187.968,172.877,177.48,186.447,210.865,205.892,180.875,173.172,173.599,184.958
1983,195.871,172.725,182.769,170.669,174.725,191.367,220.447,230.193,195.817,183.137,183.171,212.555
1984,216.924,189.81,200.387,181.381,192.55,209.967,221.526,229.532,195.411,191.142,190.602,200.232
1985,228.148,198.488,195.25,185.173,197.123,205.682,227.004,226.286,202.712,194.995,192.649,219.49
1986,217.761,192.582,197.115,186.37,197.647,215.334,242.954,225.402,206.905,197.96,196.654,213.787
1987,223.041,194.281,202.13,189.792,206.407,225.908,248.196,247.881,213.221,203.215,200.479,220.736
1988,238.188,217.183,214.294,196.297,208.704,233.066,257.742,267.929,220.392,210.814,209.815,232.988
1989,246.766,233.783,241.946,222.869,234.825,250.919,273.458,275.42,242.794,235.669,234.25,274.448
1990,255.187,229.499,244.761,229.77,241.774,268.992,287.448,290.655,258.357,244.372,231.242,255.77
1991,269.214,228.29,240.561,227.799,254.873,269.099,294.648,292.159,256.027,245.378,241.661,254.089
1992,267.773,239.514,247.733,233.406,242.412,261.077,293.617,281.927,259.925,244.994,244.162,267.343
1993,271.021,248.015,261.248,234.695,244.326,275.36,312.225,311.45,264.032,250.553,252.102,272.165
1994,289.768,249.172,257.998,240.637,252.745,294.162,311.257,307.605,266.262,256.528,251.868,269.52
1995,279.773,252.307,261.343,244.736,264.288,286.258,330.416,345.78,277.575,263.978,261.478,285.554
1996,296.923,270.685,275.019,251.613,282.266,302.717,327.708,329.286,283.151,271.446,269.122,284.25
1997,300.574,258.131,272.258,258.284,272.914,299.092,344.516,332.899,301.057,284.971,271.121,296.356
1998,295.26,260.59,286.878,261.23,299.64,328.903,361.936,357.366,318.924,284.446,267.136,297.986
1999,315.814,274.82,298.145,280.719,300.098,328.924,376.538,364.031,305.516,283.935,271.096,295.174
2000,327.994,294.169,301.58,285.578,322.954,339.054,356.528,368.669,312.447,289.452,284.67,319.011
2001,332.493,282.94,300.707,278.079,300.492,327.694,357.614,370.533,306.929,294.734,278.934,305.496
2002,319.941,281.826,302.549,289.848,307.675,341.023,381.542,374.586,331.279,307.059,296.29,324.834
2003,341.989,299.249,304.317,285.756,307.545,328.694,374.396,381.816,323.136,306.741,297.867,331.68
2004,346.546,314.28,308.812,290.56,327.38,345.085,377.332,368.439,335.622,312.45,302.101,341.948
2005,343.121,298.5,317.458,289.562,315.062,363.672,402.274,404.941,350.218,316.398,306.115,348.101
2006,328.658,307.333,318.73,297.858,330.616,364.26,410.421,407.763,332.055,321.567,309.159,336.283
2007,353.531,323.23,320.471,303.129,330.203,362.755,393.226,421.797,355.394,332.615,314.103,346.29
2008,362.998,325.106,324.63,305.865,325.245,373.109,402.9,388.987,338.056,318.547,310.046,343.898
2009,354.993,300.887,310.603,289.537,311.306,347.658,372.542,381.221,327.401,307.04,296.635,350.507
2010,360.957,319.735,312.168,287.8,327.936,375.759,409.725,408.884,346.045,307.921,306.01,362.119
2011,363.105,313.293,318.71,302.4,323.627,367.727,418.693,406.541,337.961,308.727,304.119,335.753
2012,340.919,310.151,309.04,295.94,337.53,361.506,416.515,396.108,334.735,312.157,305.548,334.335
2013,348.642,309.601,325.372,298.261,322.118,356.4,,,,,,
